DEPARTMENT,NAME,JOB TITLE
FAMILY & SUPPORT,"GALLAGHER,  MARY J",DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"GALLAGHER, MICHAEL J",
BOARD/COMMISSION MEMBER,"GALLANIS, CATHERINE J",
BOARD/COMMISSION MEMBER,"GANG, JEANNE",
BOARD/COMMISSION MEMBER,"GARANZINI, SR, MICHAEL J",
BOARD/COMMISSION MEMBER,"GARCIA-ABNER, TONYA ALICIA",
MAYOR'S OFFICE,"GARCIA,  BRENDA G",ADMINISTRATIVE ASST
BOARD/COMMISSION MEMBER,"GARCIA, MARICELA",
BOARD/COMMISSION MEMBER,"GARCIA, SYLVIA",
BOARD/COMMISSION MEMBER,"GARDNER, DENISE",
BOARD/COMMISSION MEMBER,"GARDNER, GARY",
STREETS & SAN,"GARNER,  BRIAN",WARD SUPERINTENDENT
STREETS & SAN,"GARRITY,  MICHAEL D",ASST TO THE COMMISSIONER
BOARD/COMMISSION MEMBER,"GARTH, W",
BOARD/COMMISSION MEMBER,"GARZA, ALEJANDRA",
BOARD/COMMISSION MEMBER,GARZA RAUL,
BOARD/COMMISSION MEMBER,"GASSMAN, DAVID LEE",
BOARD/COMMISSION MEMBER,"GATES, THEASTER",
BOARD/COMMISSION MEMBER,"GECAN, PAMELA",
BOARD/COMMISSION MEMBER,"GEDROIC, GERALDINE M",
COMMUNITY DEVELOPMENT,"GEMPELER,  AMY I",FIRST DEPUTY COMMISSIONER
POLICE,"GEORGAS,  STEVE E",DEPUTY CHIEF
BOARD/COMMISSION MEMBER,"GEORGE, CHRISTY",
BOARD/COMMISSION MEMBER,"GESSMAN, DAVID",
BOARD/COMMISSION MEMBER,"GHAEMI, HOMA",
BOARD/COMMISSION MEMBER,"GIANNOULIAS, ALEXI",
BOARD/COMMISSION MEMBER,"GIARRATANO, SAM",
BOARD/COMMISSION MEMBER,"GIBBONS, THOMAS W",
BOARD/COMMISSION MEMBER,"GIBSON, BARBARA",
BOARD/COMMISSION MEMBER,"GINOPLE, DAVID JAMES",
PROCUREMENT,"GIRALDO,  GUSTAVO A",DEPUTY PROCUREMENT OFFICER/CONTR COMPLIANCE
BOARD/COMMISSION MEMBER,"GJERTSEN, EDWARD",
MAYOR'S OFFICE,"GLEASON,  DANIEL J",ASST ADMINISTRATIVE SECRETARY I
BOARD/COMMISSION MEMBER,"GLEASON HURT, SUELLEN",
MAYOR'S OFFICE,"GLUNZ,  WILLIAM",ASST TO THE DIR OF INTERGOVERNMENTAL AFFAIRS
BOARD/COMMISSION MEMBER,"GOLDBERG, ALAN J",
BOARD/COMMISSION MEMBER,"GOLDMAN, ISAAC",
MAYOR'S OFFICE,"GOLDSTEIN,  BRETT J",ADMINISTRATIVE ASST
BOARD/COMMISSION MEMBER,"GOMEZ, JOSEPHINE",
BOARD/COMMISSION MEMBER,"GOMEZ, JULIO",
BOARD/COMMISSION MEMBER,"GOMEZ-LEAL, AUGUSTIN",
BOARD/COMMISSION MEMBER,"GOMEZ, PhD., LCSW, ILLEANA",
HUMAN RELATIONS,"GONZALES,  REFUGIO",DIR / COMMUNITY LIAISON
BOARD/COMMISSION MEMBER,"GONZALEZ, CESAR A",
BOARD/COMMISSION MEMBER,"GONZALEZ-CRUSSI, JULIANA",
STREETS & SAN,"GONZALEZ,  MANUEL",WARD SUPERINTENDENT
BOARD/COMMISSION MEMBER,"GONZALEZ, RUBY A",
BOARD/COMMISSION MEMBER,"GOOLSBEE, AUSTAN",
BOARD/COMMISSION MEMBER,"GORDON, LESTER R.",
BOARD/COMMISSION MEMBER,"GORDON, PHILIP M",
POLICE,"GORMAN,  JOSEPH F",COMMANDER
BOARD/COMMISSION MEMBER,"GOTTSCHALL, BRUCE",
POLICE,"GRAEBER,  JOHN E",COMMANDER
BOARD/COMMISSION MEMBER,"GRANATO, ELIZABETH",
FIRE,"GRAY JR,  ARRIEL",DEPUTY DISTRICT CHIEF
BOARD/COMMISSION MEMBER,"GRAY, MARK K",
BOARD/COMMISSION MEMBER,"GRAZYNS, BUDA",
HUMAN RELATIONS,"GREAVES,  WILLIAM W",DIR / COMMUNITY LIAISON
BOARD/COMMISSION MEMBER,"GREENBERG, DAVID SCOTT",
BOARD/COMMISSION MEMBER,"GREEN, MAURICE",
AVIATION,"GREEN,  TIFFANY L",DEPUTY COMMISSIONER
POLICE,"GREEN,  WALTER",COMMANDER
BUDGET & MGMT,"GRIBBLE,  PETER C",DEPUTY BUDGET DIR
BOARD/COMMISSION MEMBER,"GRIFFIN, BRIAN J",
BOARD/COMMISSION MEMBER,"GRIGGS, CORNELIUS D",
BOARD/COMMISSION MEMBER,"GRIMBAU, ROCHELLE",
BOARD/COMMISSION MEMBER,"GRISHAM, LAWRENCE",
BOARD/COMMISSION MEMBER,"GROENE, JOHN M",
POLICE,"GROSS,  FRANK C",COMMANDER
INSPECTOR GEN,"GROSSMAN,  DAVID",DIR OF LEGAL INVESTIGATION
BOARD/COMMISSION MEMBER,"GROSSMAN, FRANCES R",
BOARD/COMMISSION MEMBER,"GROSSO, BROCK",
BOARD/COMMISSION MEMBER,"GUAGLIARLO, GAETANO",
BOARD/COMMISSION MEMBER,"GUAYLIARDO, GAETANO",
MAYOR'S OFFICE,"GUERRA,  MARIA",ASST TO THE MAYOR
AVIATION,"GUERRERO,  ADRIAN",ASST COMMISSIONER
BOARD/COMMISSION MEMBER,"GUICHARD, FRANCES",
POLICE,"GULLIFORD,  WAYNE M",DEPUTY CHIEF
HUMAN RELATIONS,"GUNN,  KENNETH A",FIRST DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"GUTHMAN, SANDRA P",
BOARD/COMMISSION MEMBER,"GUTTMAN, GREGORY",
BOARD/COMMISSION MEMBER,"HAGAN, SUSAN",
FIRE,"HALAC,  YILMAZ",DIR OF RESEARCH AND PLANNING
MAYOR'S OFFICE,"HALL,  ABBY",ASST ADMINISTRATIVE SECRETARY I
BOARD/COMMISSION MEMBER,"HALL, JOSEPH M",
BOARD/COMMISSION MEMBER,"HALLOWELL, RAYMOND",
MAYOR'S OFFICE,"HALL,  VANESSA",ASST PRESS SECRETARY
BOARD/COMMISSION MEMBER,"HALPERIN, MARJ",
BUDGET & MGMT,"HAMBURGER, CAROL",DEPUTY BUDGET DIR
TRANSPORTN,"HAMILTON,  LUANN M",DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"HAMM, BENJAMIN",
BOARD/COMMISSION MEMBER,"HANNAH, JOHN F",
LAW,"HANSCOM,  WESTON W",DEPUTY CORPORATION COUNSEL
BOARD/COMMISSION MEMBER,"HANSEN, NICHOLAS J",
BOARD/COMMISSION MEMBER,"HANSON, JAMES M",
DoIT,"HANSON,  LAWRENCE D",DEPUTY CHIEF INFORMATION OFFICER
MAYOR'S OFFICE,"HARDING,  MONDINE A",ASST ADMINISTRATIVE SECRETARY II
POLICE,"HARGESHEIMER,  ROBERT",COMMANDER
BOARD/COMMISSION MEMBER,"HARKNESS, ALAINA J",
BUILDINGS,"HARNEY,  JAMES M",DEPUTY COMMISSIONER
FLEET MANAGEMNT,"HARNEY,  PATRICK J",COMMISSIONER OF FLEET MANAGEMENT
BOARD/COMMISSION MEMBER,"HARRIS, ANTHONY E",
BOARD/COMMISSION MEMBER,"HARRIS, TAYLOR",
BOARD/COMMISSION MEMBER,"HARTMAN, ALLISON CATE",
BOARD/COMMISSION MEMBER,"HASSAN, OKAB T",
BOARD/COMMISSION MEMBER,"HATTEN BUTLER, GWENDOLYN L",
MAYOR'S OFFICE,"HAUSWIRTH,  KEVIN",ASST PRESS SECRETARY
BOARD/COMMISSION MEMBER,"HAYES, MONICA",
STREETS & SAN,"HAYNES,  PATRICK T",WARD SUPERINTENDENT
BOARD/COMMISSION MEMBER,"HEFFNER, MARK",
BOARD/COMMISSION MEMBER,"HEFFY MATRAY, MARGARET",
STREETS & SAN,"HEHN,  MICHAEL J",WARD SUPERINTENDENT
BOARD/COMMISSION MEMBER,"HEINZ ANN, CATHERINE",
BOARD/COMMISSION MEMBER,"HEISE, JILL C",
BOARD/COMMISSION MEMBER,"HELFAND, DAVID",
INSPECTOR GEN,"HENGESBACH,  THEODOR J",DEPUTY INSPECTOR GENERAL
BOARD/COMMISSION MEMBER,"HENNESSY, JAMES M",
MAYOR'S OFFICE,"HENRY,  VANCE T",ASST TO THE MAYOR
BOARD/COMMISSION MEMBER,"HERBERT, LATONYA",
BOARD/COMMISSION MEMBER,"HERNANDEZ, JR. JOSE",
WATER MGMNT,"HERNANDEZ TOMLIN,  JULIE I",MANAGING DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"HERRERA, AILISA",
BOARD/COMMISSION MEMBER,"HERZOG, GEORGE C",
BOARD/COMMISSION MEMBER,"HEYWOOD, DENNIS M",
BOARD/COMMISSION MEMBER,"HICKMAN, STEPHANIE J",
BUDGET & MGMT,"HIGGINS,  JESSICA",MANAGING DEPUTY BUDGET DIRECTOR
BOARD/COMMISSION MEMBER,"HIGHTOWER, TIFFANY D",
FINANCE,"HILL,  DARRELL A",PUBLIC RELATIONS COORD
BOARD/COMMISSION MEMBER,"HILL, HEATHER",
BOARD/COMMISSION MEMBER,"HITE JR, ROBERT",
BOARD/COMMISSION MEMBER,"HOANG, CAM NGON",
DoIT,"HO,  BENJAMIN",DEPUTY CHIEF INFORMATION OFFICER
BOARD/COMMISSION MEMBER,"HOCHBERG, YAEL V",
BOARD/COMMISSION MEMBER,"HODOS, KEVIN",
MAYOR'S OFFICE,"HO,  EDNA",ADMINISTRATIVE ASST
BOARD/COMMISSION MEMBER,"HOFFMAN, DAVID H",
FIRE,"HOFF,  ROBERT S",FIRE COMMISSIONER
BOARD/COMMISSION MEMBER,"HOGAN, KATHLEEN A",
STREETS & SAN,"HOHENADEL JR,  WILLIAM G",WARD SUPERINTENDENT
BOARD/COMMISSION MEMBER,"HOLLANDER, ELEANOR S.",
BOARD/COMMISSION MEMBER,"HOLLANDER, SCOTT",
LAW,"HOLLER,  STEVEN J",DEPUTY CORPORATION COUNSEL
BOARD/COMMISSION MEMBER,"HOLMAN, SHERYL",
BOARD/COMMISSION MEMBER,"HOLMES, CALVIN",
BUDGET & MGMT,"HOLT,  ALEXANDRA D",BUDGET DIR
POLICE,"HOLT,  RONALD M",DIR OF CAPS
FIRE,"HONG,  MARK E",ASST DEPUTY CHIEF PARAMEDIC
BOARD/COMMISSION MEMBER,"HOOKER, JOHN T",
BUILDINGS,"HOPKINS,  MARLENE",MANAGING DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"HORNICK, MARSHILL",
BOARD/COMMISSION MEMBER,"HORTON, KEITH E",
BOARD/COMMISSION MEMBER,"HORTON, WILL",
BOARD/COMMISSION MEMBER,"HORWEEN, NICK",
BOARD/COMMISSION MEMBER,"HOSEY, VICKY D",
BOARD/COMMISSION MEMBER,"HOTZA, AVDULLA",
BOARD/COMMISSION MEMBER,"HOUKE-SMITH, KATHARYN F",
BOARD/COMMISSION MEMBER,"HOULIHAN, JAMES",
BOARD/COMMISSION MEMBER,"HOWARD, GALE",
FIRE,"HOWARD,  LARRY B",DEPUTY DISTRICT CHIEF
LAW,"HOYLE,  JENNIFER A",DIR OF PUBLIC AFFAIRS
BOARD/COMMISSION MEMBER,"HUBBARD, KYM",
MAYOR'S OFFICE,"HUBBELL,  EILEEN A",ASST TO THE MAYOR
BOARD/COMMISSION MEMBER,"HUDSON, DOROTHY",
BOARD/COMMISSION MEMBER,"HUFFMAN, REBECA",
BOARD/COMMISSION MEMBER,"HUGGINS, LARRY",
BOARD/COMMISSION MEMBER,"HUGHES, RALPH V",
BOARD/COMMISSION MEMBER,"HUGHES, TIMOTHY",
BOARD/COMMISSION MEMBER,"HUNT, CHRISTOPHER",
DoIT,"HURDELBRINK,  DOUGLAS J",DEPUTY CHIEF INFORMATION OFFICER
BOARD/COMMISSION MEMBER,"HURLEY, MELISSA C",
BOARD/COMMISSION MEMBER,"HURLOCK, ANGELA",
BOARD/COMMISSION MEMBER,"HURT, SUELLEN GLEASON",
BOARD/COMMISSION MEMBER,"HUTCHINSON, KELLY",
BOARD/COMMISSION MEMBER,"HU, TONY (XIAO JUN)",
BOARD/COMMISSION MEMBER,"HUTTAS, MARCY S",
BOARD/COMMISSION MEMBER,"HWANG, DANIEL",
BOARD/COMMISSION MEMBER,"HYATT, TODD",
BOARD/COMMISSION MEMBER,"HYNES, DANIEL",
MAYOR'S OFFICE,"HYNES,  MATTHEW J",ASST TO THE MAYOR
BOARD/COMMISSION MEMBER,"IACULLO, WILLIAM E",
BOARD/COMMISSION MEMBER,"IDLER, JOHN H",
BOARD/COMMISSION MEMBER,"IDONIJE, ISRAEL",
WATER MGMNT,"INGRAM,  BEVERLY J",DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"IRVINE, KEVIN",
BOARD/COMMISSION MEMBER,"ITTELSON, MARY E",
BOARD/COMMISSION MEMBER,"IVERS, MICHAEL",
BOARD/COMMISSION MEMBER,"JACKOWIAK, MATTHEW F",
ADMIN HEARNG,"JACKOWIAK,  PATRICIA",DIR OF ADMINISTRATIVE HEARINGS
POLICE,"JACKSON,  BEVERLY A",DIR OF PROFESSIONAL COUNSELING SERVICES
BOARD/COMMISSION MEMBER,"JACKSON, CHET",
BOARD/COMMISSION MEMBER,"JACKSON, DERRICK F",
BOARD/COMMISSION MEMBER,"JACKSON, JACQUELINE",
BOARD/COMMISSION MEMBER,"JACKSON, KENDRA",
BOARD/COMMISSION MEMBER,"JACKSON, LASHANA",
BOARD/COMMISSION MEMBER,"JACKSON, ROBERT",
BOARD/COMMISSION MEMBER,"JACKSON, ROBIN",
BOARD/COMMISSION MEMBER,"JACKSON, WILLIAM W",
BOARD/COMMISSION MEMBER,"JACOB, EDWARD H",
MAYOR'S OFFICE,"JAIN, VRITI",
BOARD/COMMISSION MEMBER,"JAKUBCO, JEROME PAUL",
BOARD/COMMISSION MEMBER,"JAMERSON, LINDA",
BOARD/COMMISSION MEMBER,"JANAS, JIM",
CITY CLERK,"JANIAK,  ANGELA G",DIR OF LICENSE ISSUANCE
BOARD/COMMISSION MEMBER,"JANIK, WAYNE A",
BOARD/COMMISSION MEMBER,"JARDIEN, JEANNE MARIE S",
POLICE,"JARMUSZ,  DAVID",COMMANDER
COMMUNITY DEVELOPMENT,"JASSO,  MICHAEL A",MANAGING DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"JAYARAM GARCIA, CAROLINA",
BOARD/COMMISSION MEMBER,"JEANBLANC, MARGARET",
BOARD/COMMISSION MEMBER,"JENKINS, CARL",
BOARD/COMMISSION MEMBER,"JENKINS, ELIZABETH",
BOARD/COMMISSION MEMBER,"JIMENEZ, MANUEL",
PROCUREMENT,"JIMENEZ,  MONICA M",DEPUTY PROCUREMENT OFFICER
STREETS & SAN,"JOHNSON,  ANTHONY F",WARD SUPERINTENDENT
BOARD/COMMISSION MEMBER,"JOHNSON, CHRIS",
POLICE,"JOHNSON,  EDDIE T",COMMANDER
BOARD/COMMISSION MEMBER,"JOHNSON-GABRIEL, BERNITA",
BOARD/COMMISSION MEMBER,"JOHNSON, HARRIET",
BUDGET & MGMT,"JOHNSON,  JONATHAN L",DEPUTY BUDGET DIR
BOARD/COMMISSION MEMBER,"JOHNSON, KENNETH",
STREETS & SAN,"JOHNSON,  MICHAEL L",WARD SUPERINTENDENT
BOARD/COMMISSION MEMBER,"JOHNSON RICE, LINDA",
BOARD/COMMISSION MEMBER,"JOHNSON, STEPHEN E",
STREETS & SAN,"JOHNSON,  TOMMIE L",DIVISION SUPERINTENDENT
BOARD/COMMISSION MEMBER,"JOHNSON, TOMMIE L",
POLICE,"JOHNSTON,  RACHEL M",DIR OF RESEARCH AND PLANNING
BOARD/COMMISSION MEMBER,"JONES, CHERYL",
BOARD/COMMISSION MEMBER,"JONES, FRANKLIN",
BOARD/COMMISSION MEMBER,"JORDAN TURNER, DOMINIQUE",
FLEET MANAGEMNT,"JOYCE,  EILEEN",ASST COMMISSIONER
BOARD/COMMISSION MEMBER,"JOY, RA",
BOARD/COMMISSION MEMBER,"JUAREZ SR., RICHARD",
BOARD/COMMISSION MEMBER,"JUNBLANC, MARGARET",
BOARD/COMMISSION MEMBER,"JURENS, JEREMIAH",
BOARD/COMMISSION MEMBER,"JUSTICE, BRENDA E",
BOARD/COMMISSION MEMBER,"KAESAMMER, ERIC",
BOARD/COMMISSION MEMBER,"KAISERAUER, OTTO K",
BOARD/COMMISSION MEMBER,"KAISER, KEARBY",
BOARD/COMMISSION MEMBER,"KAMBEROS, DAIVA",
BOARD/COMMISSION MEMBER,"KANG, ANDREW",
BOARD/COMMISSION MEMBER,"KANTER, STEPHANIE",
MAYOR'S OFFICE,"KAPLAN,  JORDAN D",ASST TO THE MAYOR
BOARD/COMMISSION MEMBER,"KARACA, JACOB",
BOARD/COMMISSION MEMBER,"KARAGIANIS, JIM",
BOARD/COMMISSION MEMBER,"KARFIAS, JOHN P",
BOARD/COMMISSION MEMBER,"KARIM, AYESHA AMENA",
DoIT,"KARNUTH,  JOHN W",DEPUTY CHIEF INFORMATION OFFICER
BOARD/COMMISSION MEMBER,"KARRAS, ANGELO",
BOARD/COMMISSION MEMBER,"KARTCHESKE, PAUL F",
BOARD/COMMISSION MEMBER,"KASALI, JIMO A.",
BOARD/COMMISSION MEMBER,"KATSANTONES, JOHN",
BOARD/COMMISSION MEMBER,"KAZMI, REYAHD",
POLICE,"KEANE,  DENNIS P",COMMANDER
BUDGET & MGMT,"KEANE,  ERIN S",DEPUTY BUDGET DIR
BOARD/COMMISSION MEMBER,"KEENEY, NOREEN",
REVENUE,"KENAN,  WILLIAM H",DEPUTY DIR
POLICE,"KENNEDY,  CHRISTOPHER J",COMMANDER
CULTURAL AFFAIRS,"KENNEDY,  DAVID C",DEPUTY DIR
FIRE,"KENNEDY,  THOMAS G",CHIEF
POLICE,"KENNY,  JOHN A",COMMANDER
BOARD/COMMISSION MEMBER,"KENT, KAREN",
BOARD/COMMISSION MEMBER,"KERN, FRANK",
BOARD/COMMISSION MEMBER,"KHAN, ALI MEHBOOB IRSHAD",
FINANCE,"KHAN,  FARIDAH B",DEPUTY COMPTROLLER
BOARD/COMMISSION MEMBER,"KHANNA, RAJIV",
BOARD/COMMISSION MEMBER,"KHAN, TAREQ",
BOARD/COMMISSION MEMBER,"KIDD, JEFFERY A",
BOARD/COMMISSION MEMBER,"KIEFER, ANTHONY S",
BOARD/COMMISSION MEMBER,"KIERNAN, ANNE ""NANCY""",
BOARD/COMMISSION MEMBER,"KILEY JR., ROGER J",
BUILDINGS,"KIM,  SUZANNE",DEPUTY COMMISSIONER
FIRE,"KING,  ANTHONY L",CHIEF
GENERAL SERVICES,"KING,  JACQUELINE P",DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"KING SR, TOMMIE",
BOARD/COMMISSION MEMBER,"KING, TIM",
POLICE,"KIRBY,  DEBRA K",DEPUTY SUPERINTENDENT
BOARD/COMMISSION MEMBER,"KIRSAMMER, ERIC",
BOARD/COMMISSION MEMBER,"KLAIRMONT, ALFRED",
TRANSPORTN,"KLEIN,  GABRIEL J",COMMISSIONER OF TRANSPORTATION
POLICE,"KLIMAS,  ROBERT J",COMMANDER
BOARD/COMMISSION MEMBER,"KLOK, ANTHONY",
BOARD/COMMISSION MEMBER,"KLUGMAN, DON B",
BOARD/COMMISSION MEMBER,"KLUMP, TIMOTHY",
FIRE,"KNAPP,  JERRY H",DEPUTY DISTRICT CHIEF
BOARD/COMMISSION MEMBER,"KNIGHT, MARK",
FIRE,"KNOX,  SYLVESTER",CHIEF
BOARD/COMMISSION MEMBER,"KOLDYKE, M LAIRD",
DoIT,"KOLMAN,  ROBERT A",MANAGING DEPUTY CHIEF INFORMATION OFFICER
BOARD/COMMISSION MEMBER,"KOMBEROS, DAIVA",
BOARD/COMMISSION MEMBER,"KOONRS, RAY J",
OEMC,"KORDELEWSKI,  MARY T",PUBLIC RELATIONS COORD
BOARD/COMMISSION MEMBER,"KOTEL, THOMAS J",
BOARD/COMMISSION MEMBER,"KOWALIK, ANNA MARIA",
BOARD/COMMISSION MEMBER,"KOZIOL, KURT",
BOARD/COMMISSION MEMBER,"KRASZEWSKI, M BETH",
BOARD/COMMISSION MEMBER,"KRIEGE, CATHY",
BUSINESS AFFAIRS,"KRIMBEL,  ROSEMARY",COMMISSIONER OF BUS AFAIRS AND CONSUMER PROT
BOARD/COMMISSION MEMBER,"KROEGER, JAMES F",
BOARD/COMMISSION MEMBER,"KRUCZALAK, ZBIGNIEW",
POLICE,"KUEMMETH,  MICHAEL T",COMMANDER
POLICE,"KUPCZYK,  JOHN J",COMMANDER
BOARD/COMMISSION MEMBER,"KURTOVICH, JOHN THOMAS",
BOARD/COMMISSION MEMBER,"LACARIO, EILEEN",
POLICE,"LADNER,  TRACEY R",DIR OF HUMAN RESOURCES
BOARD/COMMISSION MEMBER,"LAGROON, VICTOR",
BOARD/COMMISSION MEMBER,"LAKIN, EDDIE",
BOARD/COMMISSION MEMBER,"LANE, DEAN",
BOARD/COMMISSION MEMBER,"LANE, JOSEPH C",
FIRE,"LANGFORD,  LAWRENCE W",DIR OF NEWS AFFAIRS
BOARD/COMMISSION MEMBER,"LANG MCDONALD, TERESE",
BOARD/COMMISSION MEMBER,"LANUCHA, VALENTINA",
STREETS & SAN,"LAPASH,  ANTHONY D",WARD SUPERINTENDENT
BOARD/COMMISSION MEMBER,"LARIA, AMY M",
FIRE,"LARSEN,  JEFFREY P",CHIEF
BOARD/COMMISSION MEMBER,"LAVELLE, AVIS",
AVIATION,"LEACH,  JONATHAN D",MANAGING DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"LEAHY, HENRY",
BOARD/COMMISSION MEMBER,"LEAIZA, PAUL",
BOARD/COMMISSION MEMBER,"LEAMON, PAUL L",
STREETS & SAN,"LEBRON,  PRIMITIVO",WARD SUPERINTENDENT
BOARD/COMMISSION MEMBER,"LEDERER, MATT PETER",
BOARD/COMMISSION MEMBER,"LEE, HELEN C",
BOARD/COMMISSION MEMBER,"LEE, JENNIFER (TIAN)",
BOARD/COMMISSION MEMBER,"LEJN, SZUJMON",
BOARD/COMMISSION MEMBER,"LEON, RAFAEL",
BOARD/COMMISSION MEMBER,"LEVIN, ANDREW S",
LAW,"LEVINE,  JEFFREY C",CHIEF ASST CORPORATION COUNSEL
FIRE,"LEVISON,  MARC H",ASST DEPUTY FIRE COMMISSIONER
BUDGET & MGMT,"LEWELLING,  JEFFREY A",DEPUTY DIR
BOARD/COMMISSION MEMBER,"LEWIS, JARED M",
LAW,"LEWIS,  RICHARD A",ASST CORPORATION COUNSEL SUPVSR
BOARD/COMMISSION MEMBER,"LEZAMA, DAISY S",
BOARD/COMMISSION MEMBER,"LIAUTAUD, JOAN",
BOARD/COMMISSION MEMBER,"LIBINSKI, KENNETH",
BOARD/COMMISSION MEMBER,"LICHTERMAN, GERALDINE",
BOARD/COMMISSION MEMBER,"LIGHTFOOT, LORI",
BOARD/COMMISSION MEMBER,"LINARES, JUAN CARLOS",
BOARD/COMMISSION MEMBER,"LIN,B912 HAI ZHI+B943",
MAYOR'S OFFICE,"LINDBLOM,  DEREK",ASST TO THE MAYOR
OEMC,"LINDBLOOM III,  FRANK J",DEPUTY DIR
BOARD/COMMISSION MEMBER,"LINDSEY, MARYELLA",
BOARD/COMMISSION MEMBER,"LINGENFELTER, CARL",
FIRE,"LINSE,  MARK J",CHIEF
BOARD/COMMISSION MEMBER,"LISERBY, RAEONIN",
BOARD/COMMISSION MEMBER,"LITTLE, WILLIAM F",
BOARD/COMMISSION MEMBER,"LIU, HONG",
BOARD/COMMISSION MEMBER,"LIZETTE FLORES, LAURA",
BOARD/COMMISSION MEMBER,"LOCKWOOD, LYNN",
BOARD/COMMISSION MEMBER,"LODAREK, HOLLY",
POLICE,"LODDING,  HOWARD W",ASST DEPUTY SUPERINTENDENT
BOARD/COMMISSION MEMBER,"LOFTUS, DANIEL P",
AVIATION,"LONERGAN,  WILLIAM",DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"LONGANECKER SR, BRUCE",
BOARD/COMMISSION MEMBER,"LONG, CHARLES M",
MAYOR'S OFFICE,"LONG,  DONNA M",ASST ADMINISTRATIVE SECRETARY II
BOARD/COMMISSION MEMBER,"LOPEZ, DOLORINE M SISTER",
BOARD/COMMISSION MEMBER,"LOPEZ, JEAN T",
POLICE,"LOPEZ,  ROBERT",COMMANDER
MAYOR'S OFFICE,"LOREDO,  SHANNON L",ASST TO THE MAYOR
BOARD/COMMISSION MEMBER,"LORIZA, PAUL",
BOARD/COMMISSION MEMBER,"LOUKAS, ANASTASIA",
BOARD/COMMISSION MEMBER,"LOUNDY, IRVING",
BOARD/COMMISSION MEMBER,"LOVE, JUANITA A",
BOARD/COMMISSION MEMBER,"LOWERY, ANTHONY",
BOARD/COMMISSION MEMBER,"LUBBAT, DEAN",
BOARD/COMMISSION MEMBER,"LUDWIG, JAMES M",
BOARD/COMMISSION MEMBER,"LUKOWSKI, ARTHUR",
BOARD/COMMISSION MEMBER,"LUSCHER, CHRISTIAN",
BOARD/COMMISSION MEMBER,"LUU, PAUL H",
FINANCE,"LUX,  STEVE J",MANAGING DEPUTY COMPTROLLER
REVENUE,"LUZZI,  MICHAEL P",DEPUTY DIR
BOARD/COMMISSION MEMBER,"LYNCH, BEVERLY",
BOARD/COMMISSION MEMBER,"LYNCH, LORRAINE C",
BOARD/COMMISSION MEMBER,"LYNCH, SHEILA",
FIRE,"LYNCH,  THOMAS M",DEPUTY DISTRICT CHIEF
FAMILY & SUPPORT,"LYONS COONEY,  ALEXANDRA",DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"LYONS, SARAH",
BOARD/COMMISSION MEMBER,"MADDOX, JENNIFER O",
BOARD/COMMISSION MEMBER,"MADIGAN, ANDREW",
BOARD/COMMISSION MEMBER,"MADIGAN, SHIRLEY",
OEMC,"MADRIGAL,  RUBEN E",DEPUTY DIR
MAYOR'S OFFICE,"MAGANA,  JASMINE M",PRESS AIDE II
BOARD/COMMISSION MEMBER,"MAHLER, EMIL C",
BOARD/COMMISSION MEMBER,"MAIGONET, JAVIER A",
BOARD/COMMISSION MEMBER,"MAIORCA, ZACHARY",
BOARD/COMMISSION MEMBER,"MAJEROWICZ, JAMES M",
BOARD/COMMISSION MEMBER,"MAKRIDAKIS, ANASTASIA",
BOARD/COMMISSION MEMBER,"MALDONADO, JOSE",
BOARD/COMMISSION MEMBER,"MALETIN, DAVID",
AVIATION,"MALICK,  AMY",DEPUTY COMMISSIONER
GENERAL SERVICES,"MALONEY,  MARK D",FIRST DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"MANLEY, BARBARA",
AVIATION,"MANNING,  ANGELA M",MANAGING DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"MANSOUR, WASFI",
INSPECTOR GEN,"MARBACK,  WILLIAM M",DEPUTY INSPECTOR GENERAL
STREETS & SAN,"MARKESE,  ROCCO J",WARD SUPERINTENDENT
BOARD/COMMISSION MEMBER,"MARQUEZ, ROSANNA A",
FIRE,"MARQUEZ,  SALVADOR",CHIEF
HUMAN RESOURCES,"MARRS, JUDITH",DEPUTY COMMISSIONER
BOARD/COMMISSION MEMBER,"MARTINEZ, DIANA",
BOARD/COMMISSION MEMBER,"MARTINEZ, LUIS A",
MAYOR'S OFFICE,"MARTINEZ ROTH,  JENNIFER A",ASST PRESS SECRETARY
BOARD/COMMISSION MEMBER,"MARTIN, JENNIFER",
POLICE,"MARTIN,  JUDITH G",COMMANDER
BOARD/COMMISSION MEMBER,"MARTINO, MAUREEN",
