CCA3,Continent,Country/Territory,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage,
SEN,Africa,Senegal,"17,316,449","16,436,119","14,356,181","12,530,121","9,704,287","7,536,001","5,703,869","4,367,744","196,722",88 km²,103%,22.0%,
SRB,Europe,Serbia,"7,221,365","7,358,005","7,519,496","7,653,748","7,935,022","7,987,529","7,777,010","7,193,533","88,361",82 km²,99%,9.0%,
SYC,Africa,Seychelles,"107,118","105,530","99,240","92,409","80,060","71,057","65,290","54,379",452,237 km²,101%,0.0%,
SLE,Africa,Sierra Leone,"8,605,718","8,233,969","7,314,773","6,436,698","4,584,067","4,325,388","3,367,477","2,778,557","71,740",120 km²,102%,11.0%,
SGP,Asia,Singapore,"5,975,689","5,909,869","5,650,018","5,163,590","4,053,602","3,022,209","2,400,729","2,061,831",710,"8,416 km²",101%,7.0%,
SVK,Europe,Slovakia,"5,643,453","5,456,681","5,424,444","5,396,424","5,376,690","5,261,305","4,973,883","4,522,867","49,037",115 km²,104%,7.0%,
SVN,Europe,Slovenia,"2,119,844","2,117,641","2,080,862","2,057,286","1,984,339","1,986,024","1,901,570","1,741,286","20,273",105 km²,100%,3.0%,
SLB,Oceania,Solomon Islands,"724,273","691,191","612,660","540,394","429,978","324,171","233,668","172,833","28,896",25 km²,102%,1.0%,
SOM,Africa,Somalia,"17,597,511","16,537,016","13,763,906","12,026,649","8,721,465","6,999,096","5,892,224","3,720,977","637,657",28 km²,103%,22.0%,
ZAF,Africa,South Africa,"59,893,885","58,801,927","55,876,504","51,784,921","46,813,266","39,877,570","29,463,549","22,368,306","1,221,037",49 km²,101%,75.0%,
KOR,Asia,South Korea,"51,815,810","51,844,690","50,994,401","48,813,042","46,788,591","44,120,039","38,170,501","32,601,143","100,210",517 km²,100%,65.0%,
SSD,Africa,South Sudan,"10,913,164","10,606,227","11,194,299","9,714,419","6,114,440","4,750,817","4,192,011","3,342,410","619,745",18 km²,102%,14.0%,
ESP,Europe,Spain,"47,558,630","47,363,807","46,431,342","46,572,772","40,741,651","38,889,889","37,491,666","33,792,617","505,992",94 km²,100%,60.0%,
LKA,Asia,Sri Lanka,"21,832,143","21,715,079","21,336,697","20,668,557","18,776,371","17,204,094","14,943,645","12,388,769","65,610",333 km²,100%,27.0%,
SDN,Africa,Sudan,"46,874,204","44,440,486","38,171,178","33,739,933","26,298,773","21,090,886","16,673,586","11,305,206","1,886,068",25 km²,103%,59.0%,
SUR,South America,Suriname,"618,040","607,065","575,475","546,080","478,998","412,756","375,112","379,918","163,820",4 km²,101%,1.0%,
SWE,Europe,Sweden,"10,549,347","10,368,969","9,849,349","9,381,729","8,871,043","8,548,406","8,311,763","8,027,702","450,295",23 km²,101%,13.0%,
CHE,Europe,Switzerland,"8,740,472","8,638,613","8,281,732","7,822,435","7,182,059","6,711,693","6,319,113","6,181,227","41,284",212 km²,101%,11.0%,
SYR,Asia,Syria,"22,125,249","20,772,595","19,205,178","22,337,563","16,307,654","12,408,996","8,898,954","6,319,199","185,180",119 km²,104%,28.0%,
TWN,Asia,Taiwan,"23,893,394","23,821,464","23,512,136","23,083,083","22,194,731","20,586,174","18,100,281","14,957,870","36,193",660 km²,100%,30.0%,
TJK,Asia,Tajikistan,"9,952,787","9,543,207","8,524,063","7,621,779","6,272,998","5,417,860","4,045,965","2,993,019","143,100",70 km²,102%,12.0%,
TZA,Africa,Tanzania,"65,497,748","61,704,518","52,542,823","45,110,527","34,463,704","26,206,012","19,297,659","13,618,192","945,087",69 km²,103%,82.0%,
THA,Asia,Thailand,"71,697,030","71,475,664","70,294,397","68,270,489","63,066,603","55,228,410","45,737,753","35,791,728","513,120",140 km²,100%,90.0%,
TLS,Asia,Timor-Leste,"1,341,296","1,299,995","1,205,813","1,088,486","878,360","758,106","642,224","554,021","14,874",90 km²,102%,2.0%,
TGO,Africa,Togo,"8,848,699","8,442,580","7,473,229","6,571,855","5,008,035","3,875,947","2,838,110","2,197,383","56,785",156 km²,102%,11.0%,
TKL,Oceania,Tokelau,"1,871","1,827","1,454","1,367","1,666","1,669","1,647","1,714",12,156 km²,101%,0.0%,
TON,Oceania,Tonga,"106,858","105,254","106,122","107,383","102,603","98,727","96,708","86,484",747,143 km²,101%,0.0%,
TTO,North America,Trinidad and Tobago,"1,531,044","1,518,147","1,460,177","1,410,296","1,332,203","1,266,518","1,127,852","988,890","5,130",298 km²,100%,2.0%,
TUN,Africa,Tunisia,"12,356,117","12,161,723","11,557,779","10,895,063","9,893,316","8,440,023","6,578,156","5,047,404","163,610",76 km²,101%,15.0%,
TUR,Asia,Turkey,"85,341,241","84,135,428","79,646,178","73,195,345","64,113,547","54,324,142","44,089,069","35,540,990","783,562",109 km²,101%,107.0%,
TKM,Asia,Turkmenistan,"6,430,770","6,250,438","5,766,431","5,267,970","4,569,132","3,720,278","2,862,903","2,201,432","488,100",13 km²,101%,8.0%,
TCA,North America,Turks and Caicos Islands,"45,703","44,276","36,538","29,726","18,744","11,709","7,598","5,665",948,48 km²,101%,0.0%,
TUV,Oceania,Tuvalu,"11,312","11,069","10,877","10,550","9,638","9,182","7,731","5,814",26,435 km²,101%,0.0%,
UGA,Africa,Uganda,"47,249,585","44,404,611","37,477,356","32,341,728","24,020,697","17,586,630","13,284,026","10,317,212","241,550",196 km²,103%,59.0%,
UKR,Europe,Ukraine,"39,701,739","43,909,666","44,982,564","45,683,020","48,879,755","51,589,817","49,973,920","47,279,086","603,500",66 km²,91%,50.0%,
ARE,Asia,United Arab Emirates,"9,441,129","9,287,289","8,916,899","8,481,771","3,275,333","1,900,151","1,014,048","298,084","83,600",113 km²,101%,12.0%,
GBR,Europe,United Kingdom,"67,508,936","67,059,474","65,224,364","62,760,039","58,850,043","57,210,442","56,326,328","55,650,166","242,900",278 km²,100%,85.0%,
USA,North America,United States,"338,289,857","335,942,003","324,607,776","311,182,845","282,398,554","248,083,732","223,140,018","200,328,340","9,372,610",36 km²,100%,424.0%,
VIR,North America,United States Virgin Islands,"99,465","100,442","102,803","106,142","108,185","100,685","96,640","63,446",347,287 km²,99%,0.0%,
URY,South America,Uruguay,"3,422,794","3,429,086","3,402,818","3,352,651","3,292,224","3,117,012","2,953,750","2,790,265","181,034",19 km²,100%,4.0%,
UZB,Asia,Uzbekistan,"34,627,652","33,526,656","30,949,417","28,614,227","24,925,554","20,579,100","15,947,129","12,011,361","447,400",77 km²,102%,43.0%,
VUT,Oceania,Vanuatu,"326,740","311,685","276,438","245,453","192,074","150,882","118,156","87,019","12,189",27 km²,102%,0.0%,
VAT,Europe,Vatican City,510,520,564,596,651,700,733,752,1,510 km²,100%,0.0%,
VEN,South America,Venezuela,"28,301,696","28,490,453","30,529,716","28,715,022","24,427,729","19,750,579","15,210,443","11,355,475","916,445",31 km²,100%,35.0%,
VNM,Asia,Vietnam,"98,186,856","96,648,685","92,191,398","87,411,012","79,001,142","66,912,613","52,968,270","41,928,849","331,212",296 km²,101%,123.0%,
WLF,Oceania,Wallis and Futuna,"11,572","11,655","12,182","13,142","14,723","13,454","11,315","9,377",142,81 km²,100%,0.0%,
ESH,Africa,Western Sahara,"575,986","556,048","491,824","413,296","270,375","178,529","116,775","76,371","266,000",2 km²,102%,1.0%,
YEM,Asia,Yemen,"33,696,614","32,284,046","28,516,545","24,743,946","18,628,700","13,375,121","9,204,938","6,843,607","527,968",64 km²,102%,42.0%,
ZMB,Africa,Zambia,"20,017,675","18,927,715","16,248,230","13,792,086","9,891,136","7,686,401","5,720,438","4,281,671","752,612",27 km²,103%,25.0%,
ZWE,Africa,Zimbabwe,"16,320,537","15,669,666","14,154,937","12,839,771","11,834,676","10,113,893","7,049,926","5,202,918","390,757",42 km²,102%,20.0%,
