Infinity Care Sunscreen Mist 120 Ml 2pices,EGP 357.00,"For protection before sun exposure. Normal and every skin type. Apply it 15-20 minutes before sun exposure. Reapply generously every 2 hours for protection, specially after swimming, perspiring or toweling.",4.3/5
Me Now Matic Lipstick Pencil 6 Pcs - Collecion 1,EGP 199.00,"Matic Lipstick Pencil 6 Pcs - Collecion 1

Change your beauty everyday.
Make you lips shines every moment.
With MN Lipstick you got all variety you Need in One Place.",3.8/5
Cottonil Bundle Of Six Unique Patterned Boxers,EGP 499.00,"This item cannot be exchanged or returned
When it comes to the essentials, you can't scrimp on quality. Cottonil brought these boxers pack with that more comfortable waistband you asked for and fabric that's softer than ever. In unique prints, the cotton-rich fabric and elasticated waistband feel light as a feather.",4/5
Sokany Cl-666 Curling Tong - 750 ° F,EGP 299.00,"Curling Iron -temperature  750f The curly curling iron is a professional hairdresser  It provides you with perfect wavy hair without any tangles.   To avoid using many devices,   One device will give your hair a more shiny look and shine all the time.",4.1/5
Fiancee Olive Nourishing Hair Oil - 175ml,EGP 32.00,Fiancée is a styling brand in the hair care products category . The brand is also considered a pioneer in hair cream gels . Fiancée Freestyle gel will give you the wetlook you deserve. It's made in Egypt . Formulated to give your hair,3.7/5
Herbs India Onion & 7 Seeds Hair Oil with Natural Seed Extract - 280 ml,EGP 99.00,"HerbsIndia Onion and 7seeds hair oil that strengthen* and nourish the hair, as it contains cloves, grape seeds, white sesame seeds, sunflower seeds, chia seeds, cucumber seeds, pomegranate seeds and watermelon seeds.
The feeding tube keeps the oil-seed in contact to continuously nourish nutrients and help nourish your hair.",3.8/5
N/A,N/A,N/A,N/A
Product Name,Price,Details,Rating
Mirada Stardom Deal - For Men - EDP - 100ML,EGP 398.00,"A timeless scent with an opulent character that embodies strength and independence. Stardom Deal  For Man is a fragrance that makes itself known through its unique and fascinating blend of aromatic notes, which captivates the attention and puts a spotlight on your unique and fascinating personality.
Top notes : are citrus, neroli, rosemary and bitter orangemiddle notes :are almond and tonka bean The perfume base :consists of leather, vetiver and cedar wood.",4/5
Mintra Durable Comfortable Backpack - Waterproof - 20 L - Navy Blue- 1 Pc,EGP 349.00,"Mintra Bags are made from durable fabric, zippers and straps. It Is waterproof which will keep your belongings safe on a rainy day.
This range of colours will always allow you to find the perfect bag that suits you
Size: 20 Litres H: 51 cm W: 32 cm
Capacity: This backpack has 2 large compartments that will fit your belongings such as notebooks, clothes and laptops. It also has a smaller front pocket where you can put your phone, wallet, and keys.
Usage: This multigenerational  backpack is perfect for every day use. With its adjustable straps, it can fit children, teenagers, and young adults. Whether you want a light backpack to fit your school or college notebooks, or whether you just want a backpack to take on an outing or travel, or even a sports bag, this backpack will be the perfect match for you.",4.7/5
LC Waikiki Elastic Waist Boy Cargo Trousers,"EGP 1,099.00","LC Waikiki is a multi-cultural fashion brand which has continuously grown in the global market over the last 17 years. LC Waikiki today has a brand range that includes clothes and accessories for men, women and children of all ages, including babies, styl",5/5
Rexona Spray V8 - 150Ml,EGP 119.00,"Rexona Spray V8 - 150Ml
Rexona Anti-Perspirant Spray
Rexona Spray V8
Rexona Spray150 ML",5/5
Shorto 2305 - Classic Pajama Set - Café,EGP 430.00,"Shorto specialized in many products that would make you feel comfortable from socks, underwear and home-wear to shirts.
High quality fabrics are used in our products as customers satisfaction are our main target.
Sh",5/5
N/A,N/A,N/A,N/A
SHEIN Unity Twist Asymmetrical Neck Solid Tee PINK,EGP 599.00,"Color:Hot PinkStyle:CasualPattern Type:PlainNeckline:Asymmetrical NeckDetails:Asymmetrical, TwistSleeve Length:Short SleeveSleeve Type:Regular SleeveLength:RegularFit Type:Slim FitFabric:Slight StretchMaterial:FabricComposition:62% Polyester, 34% Cotton, 4% ElastaneCare Instructions:Machine wash or professional dry cleanSheer:No",4.8/5
L'Oreal Paris Hyaluron Expert Replumping Moisturizing SPF 20 Day Cream - 50ml,EGP 275.00,"From science to beauty
After 30 years of dedicated research, we at L'Oréal Paris know everything about your skin, whether it is normal, dry, dull, mature or combination. Our skin care creams are developed and tested in cooperation with leading skin experts and scientists from all over the world. Proven knowledge and revolutionary innovations with luxurious textures for an exclusive skin care experience. Enjoy beautiful skin now and even younger-looking skin in the future.Replumps the skin with moisture, reducing the appearance of wrinkles with SPF20Reveals pure skin that is comfortable soothed and prevented from irritation

For The Best Results: Use Together With The Other Products From Hyaluron ExpertRange: A Replumping Moisturizing Night Cream, Mask To Smooth & Nourish Skin, And AReplumping Moisturizing Anti Wrinkle Eye Cream For The Eye Zone.


Highlights
Enriched with Fibroxyl Plant extract known for its firming properties Skin bouces back
Replumps the skin with moisture, reducing the appearance of wrinkles
Reveals pure skin that is comfortable soothed and prevented from irritation

Enriched with Fibroxyl Plant extract known for its firming properties Skin bouces backReplumps the skin with moisture, reducing the appearance of wrinklesReveals pure skin that is comfortable soothed and prevented from irritation
Action: Replumps With Moisture + Smooths Fine LinesAge: 25 To 35
Texture: Lightweight And Non-GreasyHyaluron Expert Powered By High Concentration Of 2 Types Of Hyaluronic Acid:1) High Molecular Hyaluronic Acid To Help Moisturize And Smooth Skin’s Surface2) Micro Hyaluronic Acid Helps Replumps Skin With Moisture
The Skin Is Replumped With Moisture, Fine Lines Are Smoothed, Fresh Skin And Glow Are Back.
Tested Under Dermatological ControlSuitable For All Skin Types, Even Sensitive
How to use:
Apply as a Day cream every day with circular movements on a thoroughly cleansed face and neck to use it all day long with SPF 20 protection.",4.5/5
Lattafa Rouat AL Musk - EDP - 100ml,EGP 710.00,"Beautiful combination of rare beauty, gives you a beautiful smell good quality and a sense of happiness, elegance and strength.
Advantages :
- A beautiful and distinctive fragrance
- A high quality combination that gives a long lasting fragrance
- Gives you a touch of confidence and recovery
- The ideal choice for parties and occasions such as birthdays and gifts
- Suitable for all occasions and satisfies all tastes
Specifications:
- Brand: Softness
- Size: 100 ml
Made in the United Arab Emirates",3.6/5
N/A,N/A,N/A,N/A
TAT Laptop Sleeve Case Cover Bag –Size (13 & 13.3 Inch) -Size (36*26 ) CM – Multicolor,EGP 200.00,"Vibrant, high-quality double-sided prints that won't fade
Durable 100% polyester Fabric with a Wide zipper.
Cold machine wash and low tumble dry
Makes the perfect gift for family, friends, or yourself. (You deserve it.)",5/5
N/A,N/A,N/A,N/A
Izor Side Pockets Hooded Zipper Sweatshirt - Light Mint,EGP 299.00,Step up your daily style with our casual and home wear Clothes ! Featuring great and comfy designs that fit all your occasions,3/5
N/A,N/A,N/A,N/A
White Whale Turkish Coffee Maker White Whale 1000W- Black WCM-761WG,"EGP 2,199.00","Brand White Whale
Model Name WCM-761 WG
Color Black and Red
Coffee Machine Type Turkish Coffee Machine
Coffee Beans Form Ground
Wattage 1000 Watt
life span 2 years",5/5
N/A,N/A,N/A,N/A
Johnson's Baby Sleep Time Bath - 300ml,EGP 115.00,"We understand the benefits of a good night’s sleep. That’s why we developed a routine that is clinically proven to help your baby sleep better*. JOHNSON’S Sleep Time Bath is a clinically proven mildness formula enriched with NaturalCalm essences that helps calm and soothe your baby before bedtime. Part of a 3-step routine* clinically proven to help your growing baby fall asleep faster and for longer, JOHNSON’S Sleep Time Bath gently cleanses your baby’s delicate skin to leave it feeling healthy. It contains the unique NO MORE TEARS® formula that is as gentle to the eyes as pure water, and is pH balanced and formulated to minimise risk of allergies. *Before bed, (step 1) treat your baby to a warm bath using our JOHNSON'S Sleep Time Bath. Then (step 2) gently massage skin with our JOHNSON'S Sleep Time Lotion and follow with (step 3) quiet time. JOHNSON’S baby care products. Trusted by moms for over 125 years!https://www.jumia.com.eg/sale-booth-marketplace/",5/5
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Premium Black Ink 100 Ml For Ink Jet Printers,EGP 140.00,premium black ink  100 ml for ink jet printers,4.6/5
N/A,N/A,N/A,N/A
Maxi Gold Hair Mask Gold,EGP 960.00,"A special blend of keratin, amino acids, gold particles, vitamin E, panthenol, shea butter and coconut oil. Hydrolyzed wheat Works to nourish the hair from root to tip extended effect up to 72 hours of continuous hydration It is an advanced treatment for the problems of split ends Suitable for very dry and damaged hair And dyed hair and chemically treated hair",5/5
N/A,N/A,N/A,N/A
My Perfumes Desert Prince - For Men - EDP - 100ml,EGP 296.00,MY PERFUMES-  Desert Prince Pour Homme 100ml - Eau De ParfumDesert prince eau de parfum for menFragrance to keep you fresh and activeIt can also be used as a gift to your friends and familyBeautiful bottle to enhance the look of your collectionDurable and can be used for a long time,4/5
N/A,N/A,N/A,N/A
Jiabao Battery Charger AA/AAA + Set Of Batteries - 4 Pcs (AA),EGP 265.00,"Battery charger AA / AAA complete with a set of batteries. The device supports nickel-metal hydride (Ni-MH) batteries and nickel-cadmium (Ni-CD) batteries. At the same time you can charge 4 AA cells or 4 AAA cells. The electronic system with automatic current control protects the battery against overcharging, short circuit and overheating. LED indicators indicate that the battery is fully charged. The device is powered from 230V mains. Thanks to the cable, the charger can be plugged into the socket and placed freely on a desk, shelf or window sill. The set includes four AA nickel-metal hydride (Ni-MH) batteries with a capacity of 600 mAh. Specification: Supply voltage: 220 V 50 Hz Housing color: White Charging from 1-4 batteries",4/5
N/A,N/A,N/A,N/A
Luna Bigen-Powder Hair Dye - Copper Brown 6 Gm,EGP 112.50,"Introducing Bigen Dye, delivering a consistent and enduring natural shine to the hair that lasts for a minimum of 2-3 months, depending on hair type. Formulated to be safe for pregnant women, it not only prevents hair fall and split ends but also offers a vibrant selection of 10 colors:

Golden Brown 26
Medium Brown 56
Red Brown 37
Black Brown 58
Light Chestnut 46
Oriental Black 59
Medium Chestnut 47
Dark Chestnut 48
Discover the beauty of long-lasting color and nourishment with Bigen Dye.",5/5
Might Cinema Fywntshy Concealer Full Coverage Matte -104,EGP 125.00,"Fywntshy
Concealer
Full Coverage
Matte
104",5/5
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Junior High Quality Cotton Blend And Comfy Printed Short Sleeve Kimono,EGP 70.00 - EGP 90.00,High Quality Cotton Blend and Comfy Printed Short sleeve Kimono,4.6/5
N/A,N/A,N/A,N/A
Shorto 2264-Men's Galabeya Linen Short Sleeves - White Lilac,EGP 580.00,"Shorto specialized in many products that would make you feel comfortable from socks, underwear and home-wear to shirts.
High quality fabrics are used in our products as customers satisfaction are our main target.",4.4/5
SteriMax Hand Sanitizer Gel Blue - 1 Liter,EGP 129.00,"STERIMAX alcoholic hand sanitizer fast acting, long lasting and soft on skincontains isopropyl alcohol 70% enriched with unique emollient to ensure fast sterilization and long lasting smooth feel.",4.6/5
L'Oreal Paris INFALLIBLE Full Wear -More Than Concealer- 330 Pecan,EGP 485.00,"Shape, Cover, & Contour. Full Coverage Concealer.
Be Unstoppable. Experience full-on coverage and full-face wear for up to 24 hours. New Full Wear Concealer is our highest coverage formula in our widest concealer shade range ever. L'Oréal Paris Full Wear Concealer provides full coverage with a flawless matte finish. This multi-use formula conceals imperfections while doubling as a contour/highlight product. Shape your face by going 1-2 shades deeper to contour and 1-2 shades lighter to highlighter and brighten. Our extra large applicator provides maximum coverage in one stroke to cover under-eye circles, acne scars, and discoloration. Our waterproof, non-greasy formula won't transfer, fade, or flake so your full coverage look is locked in all day. A little goes a long way! Available in 25 full coverage shades for every skin tone.",1/5
N/A,N/A,N/A,N/A
Nova I Fun Plus HD Mini Funcam Receiver With Wifi Built In - Black,EGP 875.00,"DVB-S/DVB-S2 satellite (MPEG-II/MPEG-IV/H. 264) SCPC and MCPC are due to Ku and C bandage satellites: more than 100 satelles
1000 responsive transmitters, 6,000 32 channels and more favorite sets and parent lock supported worldwide
single, broad range S & C LNB compatible code rates: 1/2,3/5,2. /3,3,3/4,4/5,5/6,7/8,8/9 and 9/10 Add Preferred Collection
Delete Supported Software Lock DISEq C 1.0/1.1/1.2/1.3 (USALS) Supported MonoLanguage List (English. German Russia Arabic Hungary)
Support blind searching Supports multi-language IPG, satellite search, network search, manual multilanguage search
DVB PAL NTSC subtitle output variable aspect ratio (4:3, 16:9) with PAN vector or letter box option
interface software (Configurable) and additional data upgrade via USB top bottom of the remote control model and internal Wi-Fi.",4.7/5
N/A,N/A,N/A,N/A
Luna Panthenol Shampoo With Neem Oil 200 Ml.,EGP 75.00,"Introducing our Panthenol Shampoo with Neem Oil, specially crafted to moisturize dry and damaged hair. This unique formula, enriched with essential hair nutrients, combines the benefits of neem oil and panthenol (provitamin B5) to strengthen hair and promote growth. Perfect for daily use, this balanced formula delivers thick, silky-textured hair, ensuring a nourishing and revitalizing experience.",4.5/5
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Might Cinema Eyeshadow Palette - 24 Color And 3 Colors Highlighter,EGP 252.00,Palette from Might Cinemas contains 24 eyeshadow colors and 3 highlighter colors - Attractive colors for a great look - Excellent material - Contains all the colors you need - You will not be able to do without it,4.5/5
N/A,N/A,N/A,N/A
"Sokany Meat Grinder Change-speed Gear Box, Smooth Running, Meat Blender +2 Weapon 666666B","EGP 2,869.00","- Sokany chopper is indispensable in any kitchen for chopping vegetables and meat   - The knife has two layers of stainless steel blades The capacity of the chopper is 10 liters, it is easy to disassemble and install and is easy to clean - The chopper is made of stainless steel for stainless steel.- Motor power is 2000 watts",5/5
Rimmel London Moisture Renew Lipstick - 640,EGP 155.00,"It's raining colour. And lips are getting drenched. Rimmel introduces its new and improved Moisture Renew Lipstick for a brilliant burst of rich, pure colour, infused with a monsoon of creamy moisture. Ready to pamper your lips with luxuriously moisturized rich colour for a soft, cared-for, hydrated feel day after day",4.6/5
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
"Kenwood Air Fryer Without Oil,Digital ,3.8 Liters - 1.7 Kg,1500 Watt - Black - HFP30.000BK","EGP 4,444.00",Kenwood HFP30.000WH Air Fryer is perfect for families thanks to its large 3.8L capacity. Prepare delicious meals with 80% less oil or fat using 4 easy-to-use preset programmes. The package includes a recipe book to give you all the inspiration you need to have a delicious and nutritious meal on the table in minutes.,4.5/5
N/A,N/A,N/A,N/A
Mesery Dress Cotton Short Sleves - Navy,EGP 149.00,"Mesery company has more than 15 years ofexperience in the field of lingerie
Our company is also considered one of the largestcompanies for underwear and home wear, and we also import lingerie from thelargest factories and international markets, Turkish and Chinese, in order tomeet the desires of your presence and satisfy all tastes.
Make sure when you purchase one of our products, you willnever regret it because we carefully choose the best fabrics from pure cottonand high-quality lycra to give you unparalleled flexibility and softness anddoes not cause any allergies to sensitive skin and we also use chiffon andIndonesian satin and we also use high-quality accessories that are not affectedby washing or repeated use
Also, our website includes everything you need in allmodels, including bikini underwears, midships, midi, hot shorts, tops, bras,bras, padded, lingerie, pajamas, slimming products and corsets.",4.8/5
LC Waikiki Crew Neck Floral Short Sleeve Maternity Dress,EGP 379.00,"LC Waikiki is a multi-cultural fashion brand which has continuously grown in the global market over the last 17 years. LC Waikiki today has a brand range that includes clothes and accessories for men, women and children of all ages, including babies, style-aware individuals and families. The brand accompanies itself with a distinctive methodology – high-quality clothes at great value. From close-fitting, stylish knitwear for men, to fashionable shoes and slippers for young girls, LC Waikiki has exactly what you need, when you need it.",5/5
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Granzia Electric Breast Milk Pump Model Sutiafeed,"EGP 7,250.00","- A breast pump suitable for wearing under clothes and designed to prevent leakage

- Comfortable and painless

- Quiet sound during operation

- 3 suction systems, 9 levels for each system

- LED display for easy control

- Rechargeable lithium battery

- Supports fast charging, equipped with a USB Type C connector

- Comes with 3 different sizes of suction pad (17, 21, 25)",5/5
Philips MMS2160B 2.1 Bluetooth Speaker 6000Wpmpo-USB-AUX-Remote Control-LED Display,"EGP 5,666.00","60W RMS total output power
RMS refers to Root Mean Square which is a typical measurement of audio power, or rather, the electrical power transferred from an audio amplifier to a loudspeaker, which is measured in watts. The amount of electrical power delivered to the loudspeaker and its sensitivity determines the sound power that is generated. Essentially, amplifiers are limited by the electrical energy they can amplify and loudspeakers by the electrical energy they can convert into sound energy, without distorting the audio signal. The higher the wattage, the better the sound power emitted by the speaker.

USB Direct for easy MP3 music playback
Thanks to the complete file transferability, you can easily enjoy the convenience and fun of accessing more digital music via the built-in USB Direct.

Rich bass
This Philips PC speaker provides good sound quality with a rich bass experience from a loudspeaker box system.


Audio Features

Maximum Output RMS Subwoofer: 30 W
Other Audio Features: AUX
Other Details

Power Input: AC 220 - 240 V, 50/60 Hz
Other Features

Compatibility: Bluetooth Smartphones, Tuner Bands: FM, Rich Bass",4.3/5
L'Oreal Paris Le Liner Signature Mechanical Eyeliner - 01 Noir Cashmere,EGP 145.00,"L'Oréal Paris presents Le Liner Signature colored eyeliner that invites you to express your individuality. Define your eyes with this liquid eyeliner, available in 5 stunning, deep shades. Easy to use for an unforgettable colorful look. Accentuate your individual eye color with this long-wearing 24-hour eyeliner. Line up your eyes by drawing an angled line from the inner corner of your upper upper eyelid. It could be on the inner part of the eye",3.5/5
Herbal Sensation Hair Mask With Argan Oil 600 Ml,EGP 99.00,"Take care of your hair with the Blends Herbal Sensation Hair Mask. This hair mask is made using argan oil, which helps nourish your hair and gives it a lustrous look. It also helps reduce the appearance of frizziness in your hair. This hair mask has a floral smell that is refreshing and pleasant. Moreover, this hair mask cleanses, moisturizes, and strengthens your hair, giving it an amazing shine.
The Blends Herbal Sensation Hair Mask is formulated with high-quality argan oil, which helps your hair stay hydrated and nourished. In addition, this hair mask helps reduce the appearance of frizziness and makes your hair smooth and soft.
Refreshing Fragrance
The fragrant blend of essential oils in this hair mask refreshes your hair and removes dirt and pollutants. It has a flowery scent that lingers on your hair for a long time, giving it an attractive and pleasant fragrance .... .",N/A
Infinity Treato Shampoo + Treato Conditioner,EGP 299.99,"Treato Sulfate-Free Shampoo is the perfect solution to reduce the risk of brittle hair, protect it from heat, humidity and chemical processing, and thoroughly cleanse your hair without stripping it of its natural oils. Split ends, hair loss and damage. Dry and frizzy hair.
Treato shampoo to repair stressed and damaged hair contains natural ingredients that are gentle on hair that nourish the hair from its roots and moisturize it deeply. Treato is a sulfate-free shampoo, so it is suitable for color-treated hair with keratin and protein
Ingredients of treato shampoo:
Mink Oil: Gives hair smoothness and a clear shine
Vitamin E: An antioxidant that protects hair from damage
Panthenol: moisturizes dry hair, treats breakage, and restores hair vitality
Biotin: stimulates hair growth, prevents hair loss and treats damage
argan oil
keratin
Emu oil
flaxseed oil
Shea Butter
Benefits of treato shampoo:
Designed to purify and cleanse hair and scalp
It cleans and protects the strands of dyed hair, making it shiny
Reduces frizz and flyaways.
Helps nourish hair and rebuild broken bonds between hair follicles
It repairs damaged hair, leaving it soft, supple and with a natural shine.
How to use Trito shampoo without sulfates:
The hair is washed well with water
Put an appropriate amount of shampoo on the hands and then massage the scalp for several minutes
The hair is rinsed well with water
Treato shampoo is used on the hair from two to three times a week, depending on the type of hair.
Best shampoo for protein-treated hair:
Trito shampoo without sulfate from Infinity Pharm is available in 250 ml




Treato infinity conditioner for dry and damaged hair
Produced by Infinity Clinic Pharma, Egypt.
250 ml of hair conditioner.
To repair damaged, dry, weak and damaged hair.
Reduces hair loss.
Increases the rate of hair production.
It works to provide the hair follicles with the nutrients it needs.
Thickens hair and makes scalp healthy.
Increases the density, thickness and elasticity of hair.",4.8/5
My Way Casual - EDP - For Men - 40ml - 3 Pcs,EGP 370.00,Casual  - For Men - 40ml - 3 Pcs,3.7/5
LC Waikiki Women's Elastic Waist Regular Jogger Sweatpants,EGP 379.00,"LC Waikiki is a multi-cultural fashion brand which has continuously grown in the global market over the last 17 years. LC Waikiki today has a brand range that includes clothes and accessories for men, women and children of all ages, including babies, style-aware individuals and families. The brand accompanies itself with a distinctive methodology – high-quality clothes at great value. From close-fitting, stylish knitwear for men, to fashionable shoes and slippers for young girls, LC Waikiki has exactly what you need, when you need it.",N/A
N/A,N/A,N/A,N/A
Skipping Jump Rope With Wooden Handles - Yellow,EGP 125.00,Skipping ropes are the best form of exercise. They are cheap and portable and can burn more calories than you think. This skipping rope  is made of high-quality material and does not break easily. It is a great way to tone your muscles and good for your hand and eye co-ordination,3.8/5
Cleaner Kit For Pc&Laptop 100ml,EGP 119.00,"Screen Cleaner Kit
Size: 100 ML
For: PC, Laptop, T.V
Material: Plastic
Made in China",4.4/5
LC Waikiki Shirt Collar Straight Short Sleeve Women's Pajamas Set,EGP 769.00,"LC Waikiki is a multi-cultural fashion brand which has continuously grown in the global market over the last 17 years. LC Waikiki today has a brand range that includes clothes and accessories for men, women and children of all ages, including babies, style-aware individuals and families. The brand accompanies itself with a distinctive methodology – high-quality clothes at great value. From close-fitting, stylish knitwear for men, to fashionable shoes and slippers for young girls, LC Waikiki has exactly what you need, when you need it.",5/5
N/A,N/A,N/A,N/A
Product Name,Price,Details,Rating
N/A,N/A,N/A,N/A
Lolita - Gym Trousers Are Excellent,EGP 137.00,"The Lolita family is characterized by international and modern designs full of femininity and to suit all tastes and needs. Made with a gorgeous blend of cotton and lycra to give you unparalleled flexibility and softnessLolita is one of the largest companies in the brandFor underwear and fashion and one of the largest distribution companies, the customer is considered to beThe basis of the company for our unique business in terms of product design and sales. Lolita is one of the largest companies of the brandFor underwear and fashion and one of the largest distribution companies, the customer is considered to beThe basis of the company for our unique business in terms of product design and salesSport pants are a kind of elastic trousers, designed for physical activities that require a lot of movement and flexion.They are usually worn for sports, physical exercises, martial arts, dance, pilates, or aerobics",4/5
Nileton T-Shirt Drop Shoulder Oversized Mustard – Cotton,EGP 245.00,"Nileton is an Egyptian e-commerce brand with a French taste in product design. The company mainly focuses on fashion products for women, men & children, in the meantime, offers accessories, bags, shoes and other fashion items. Currently we are operating in Egypt with targeting the Middle East in the near future. Nileton brand was founded in 2021.",4.5/5
LC Waikiki Woman Sweatpants,EGP 289.00,"LC Waikiki is a multi-cultural fashion brand which has continuously grown in the global market over the last 17 years. LC Waikiki today has a brand range that includes clothes and accessories for men, women and children of all ages, including babies, style-aware individuals and families. The brand accompanies itself with a distinctive methodology – high-quality clothes at great value. From close-fitting, stylish knitwear for men, to fashionable shoes and slippers for young girls, LC Waikiki has exactly what you need, when you need it.",5/5
LC Waikiki Regular Fit Long Sleeve Poplin Men's Shirt,"EGP 1,099.00","LC Waikiki is a multi-cultural fashion brand which has continuously grown in the global market over the last 17 years. LC Waikiki today has a brand range that includes clothes and accessories for men, women and children of all ages, including babies, styl",5/5
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Might Cinema Loose Powder Matte Finish With Sponge -NO : 104,EGP 155.50,"Brand: Might Cinema
Loose Powder Matte Finish With Sponge
Made in: Egypt
Target Gender: Women
Shade Number: 104",5/5
LC Waikiki Skinny Fit Women's Straight Jeans,"EGP 1,099.00","LC Waikiki is a multi-cultural fashion brand which has continuously grown in the global market over the last 17 years. LC Waikiki today has a brand range that includes clothes and accessories for men, women and children of all ages, including babies, styl",N/A
N/A,N/A,N/A,N/A
Modern Home GR_101 - Modern Coffee Table - 80×60 Cm - Brown,EGP 380.00,"The Modern Decor table is used to carry drinks, TV controls, books and magazines, all of which are close to your hands",4/5
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
LC Waikiki Crew Neck Long Sleeve Baby Boy T-Shirt And Tracksuit Bottom 2-Pack Set,EGP 379.00,"LC Waikiki is a multi-cultural fashion brand which has continuously grown in the global market over the last 17 years. LC Waikiki today has a brand range that includes clothes and accessories for men, women and children of all ages, including babies, style-aware individuals and families. The brand accompanies itself with a distinctive methodology – high-quality clothes at great value. From close-fitting, stylish knitwear for men, to fashionable shoes and slippers for young girls, LC Waikiki has exactly what you need, when you need it.",N/A
Sokany 1080F GRADE SK-1009 HAIR STRAIGHTENER BRUSH - THERMAL COMB,EGP 300.00,"High Quality Materials:* Uses Durable And Safe Material For Hair, Suitable For Daily Use Without Damaging Hair
Additional Functions:* May Have Additional Functions Such As Multiple Heat Settings And Auto-Off For Safety
ADVANCED DESIGN: * May contain innovative design and convenient to use, with anti-slip handle
NEGATIVE IONIC TECHNOLOGY:* Reduces curls and adds shine to hair, making them effective in improving the appearance of hair.
High Temperature: Allows you to reach high temperatures to style hair effectively and quickly",1/5
Kemei KM-2026 Electric Shaver For Men,"EGP 1,149.00","Brand: KEMEI


Model No .: KM-2026


Power type: Rechargeable, with a USB cable


Blade of use: for hair, hair and body, for short hair.


Washing Mode: Full body washable


Material: ABS + stainless steel


Voltage: 50Hz / 5W


Charging time: 2 hours


Usage time: last 120min


Battery capacity: 1400 mAh non-rechargeable


Color: Black Rock / Army Green


Property
1.Smart anti-pinch
2.Stainless steel double mesh
3. Low noise
4. Auto pure copper power
5.LCD displays engine speed, power",4.7/5
L'Oreal Paris Colour Riche La Palette Lip - 03 Nude,EGP 255.00,"L'Oreal Paris Colour Riche La Palette Lip
Create and re-create expert lip looks with L'Oreal Paris Colour Riche Lipstick Palette. Our 1st multi-finish, multi-color lip palette. Get matte lipstick, cream lipstick, and sheer lipstick all in one lip palette.",4.2/5
LC Waikiki Crew Neck Patterned Short Sleeve Girl Dress,EGP 439.00,"LC Waikiki is a multi-cultural fashion brand which has continuously grown in the global market over the last 17 years. LC Waikiki today has a brand range that includes clothes and accessories for men, women and children of all ages, including babies, style-aware individuals and families. The brand accompanies itself with a distinctive methodology – high-quality clothes at great value. From close-fitting, stylish knitwear for men, to fashionable shoes and slippers for young girls, LC Waikiki has exactly what you need, when you need it.",N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
LC Waikiki Boy Shoulder Bag,EGP 279.00,"LC Waikiki is a multi-cultural fashion brand which has continuously grown in the global market over the last 17 years. LC Waikiki today has a brand range that includes clothes and accessories for men, women and children of all ages, including babies, style-aware individuals and families. The brand accompanies itself with a distinctive methodology – high-quality clothes at great value. From close-fitting, stylish knitwear for men, to fashionable shoes and slippers for young girls, LC Waikiki has exactly what you need, when you need it.",N/A
Kemei Km-6558 3 In 1 Electric Hair Clipper - Black,EGP 385.00,"Kemei KM - 6558 3 in 1 Reciprocating Three Blades Electric Shaver Travel Use Safe Razor for Men

Product Description:
ON / Off switch with integrated lock
Battery: 2 x AA batteries ( included in the product )
Power supply: AC 220V, 50 / 60Hz
Streamlined model and ergonomic design
Men electric shaver with precision titanium mesh
Three blades electric shaver travel use safe razor for men
Individually reflex action system can always get close to the facial contour to effectively shave the hair of any lengths and in any growing directions
Specification
Product Detail
Gender: Female
Power Type: Electric
Feature: Twin Blade
Use: Face
Usage Time: 30Minutes
Washing Mode: Do Not Wash
With Trimming Device: Yes
Charging Time: 8 Hours
Voltage: AC 110-240V
Power Consumption (W/m): 3W
Product weight: 0.2900 kg
Package weight: 0.3730 kg
Product Size(L x W x H): 16.00 x 6.00 x 3.00 cm / 6.3 x 2.36 x 1.18 inches
Package size (L x W x H): 20.30 x 16.00 x 4.50 cm / 7.99 x 6.3 x 1.77 inches
Package Content: 1 x Electric Shaver, 1 x Cleaning Brush, 1 x Charging Cable, 1 x Nose Hair Device, 1 x Razor, 1 x Hairdressing Device, 1 x Bilingual User Manual in English and Chinese


Product Detail
Gender: Female
Power Type: Electric
Feature: Twin Blade
Use: Face
Usage Time: 30Minutes
Washing Mode: Do Not Wash
With Trimming Device: Yes
Charging Time: 8 Hours
Voltage: AC 110-240V
Power Consumption (W/m): 3W
Product weight: 0.2900 kg
Package weight: 0.3730 kg
Product Size(L x W x H): 16.00 x 6.00 x 3.00 cm / 6.3 x 2.36 x 1.18 inches
Package size (L x W x H): 20.30 x 16.00 x 4.50 cm / 7.99 x 6.3 x 1.77 inches
Package Content: 1 x Electric Shaver, 1 x Cleaning Brush, 1 x Charging Cable, 1 x Nose Hair Device, 1 x Razor, 1 x Hairdressing Device, 1 x Bilingual User Manual in English and Chinese",4.2/5
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
