index,FID,PROJECT,GEOGRAPHIC REGION,SITE TYPE,ASSESSMENT TYPE,SITE ID,DATE COLLECTED,TIME COLLECTED,LATITUDE,LONGITUDE,NORTHING,EASTING,DEPTH,URL LINK,CORAL REEF,PAVEMENT,RHODOLITH,SAND,HARD CORAL,SOFT CORAL,MACROALGAE,SPONGE,SEAGRASS,ARTIFICIAL,UNKNOWN,NOTES
136,136,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_144,2/3/2017,14:34:40,18.2537706,-65.03509278,2067273.438,-7239673.412,-36.86740112,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_144.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Present,Absent,Absent,Absent,small patch reef in video FOV.  Ignored in classifcation because isolated and small
137,137,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_145,2/3/2017,14:41:59,18.26062684,-65.03384657,2068077.129,-7239534.685,-34.9715004,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_145.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent,blue runners in video
138,138,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_146,2/3/2017,10:27:16,18.23926627,-65.03298373,2065573.339,-7239438.634,-39.24359894,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_146.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Present,Absent,Absent,Absent,rhodoliths?
139,139,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_147,2/3/2017,10:55:41,18.22793183,-65.02697048,2064244.892,-7238769.242,-40.34999847,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_147.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Absent,Absent,Absent,Absent, 
140,140,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_148,2/3/2017,14:27:33,18.2545551,-65.02587845,2067365.396,-7238647.677,-36.89229965,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_148.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Present,Absent,Absent,Absent, 
141,142,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_149,1/30/2017,11:02:59,18.21115954,-65.02309774,2062304.46,-7238336.198,-43.95259857,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_149.mp4,Present,Absent,Absent,Absent,Present,Absent,Absent,Present,Absent,Absent,Absent,This site is duplicated because starts out as sand and rhodo then transitions to pavement and then agg reef
142,141,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_149,1/30/2017,11:01:55,18.21137455,-65.02308038,2062279.263,-7238338.13,-44.21500015,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_149.mp4,Absent,Absent,Present,Present,Absent,Absent,Absent,Present,Absent,Absent,Absent,This site is duplicated because starts out as sand and rhodo then transitions to pavement and then agg reef
143,143,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_150,2/3/2017,10:44:47,18.24641339,-65.01771431,2066411.058,-7237738.849,-39.58929825,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_150.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Absent,Absent,Absent,Absent, 
144,144,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_151,1/30/2017,10:55:01,18.21320155,-65.01509694,2062518.567,-7237447.485,-43.97040176,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_151.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Absent,Absent,Absent,Absent, 
145,145,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_152,2/3/2017,11:55:18,18.22714807,-65.0144337,2064153.035,-7237373.654,-40.64609909,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_152.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Absent,Absent,Absent,Absent,sparse macroalgae & rhodoliths
146,146,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_153,1/30/2017,10:37:47,18.22047851,-65.0092896,2063371.377,-7236801.015,-41.7234993,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_153.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
147,147,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_154,2/3/2017,14:18:52,18.263119,-65.00886339,2068369.269,-7236753.57,-34.6841011,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_154.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
148,148,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_155,1/30/2017,10:17:50,18.2267825,-65.00669866,2064110.19,-7236512.593,-40.70890045,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_155.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Absent,Absent,Absent,Absent, 
149,149,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_156,2/3/2017,12:04:21,18.23272476,-65.00784507,2064806.634,-7236640.211,-40.78889847,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_156.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Present,Absent,Absent,Absent, 
150,150,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_157,1/30/2017,10:46:43,18.20930838,-65.0050165,2062062.328,-7236325.336,-43.83499908,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_157.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
151,151,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_158,2/3/2017,14:12:32,18.25862694,-65.00518079,2067842.697,-7236343.624,-36.26720047,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_158.mp4,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,patch reef visible on descent
152,152,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_159,2/3/2017,14:05:39,18.25369724,-65.00364875,2067264.839,-7236173.079,-38.58560181,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_159.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
153,153,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_161,1/30/2017,10:30:56,18.22463647,-65.0002964,2063858.677,-7235799.897,-40.21239853,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_161.mp4,Absent,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent, 
154,154,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_162,2/3/2017,13:57:38,18.24431304,-64.99587984,2066164.871,-7235308.247,-41.29959869,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_162.mp4,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent, 
155,155,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_163,1/30/2017,9:58:13,18.27023921,-64.99604941,2069203.948,-7235327.124,-33.37689972,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_163.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Absent,Absent,Absent,Absent, 
156,156,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_164,2/3/2017,13:50:45,18.25347785,-64.99430272,2067239.122,-7235132.683,-37.61700058,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_164.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Present,Absent,Absent,Absent, 
157,157,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_165,2/3/2017,13:44:33,18.26067211,-64.99301439,2068082.436,-7234989.267,-34.36119843,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_165.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Present,Absent,Absent,Absent, 
158,158,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_167,2/3/2017,12:25:44,18.21860991,-64.98136498,2063152.386,-7233692.461,-41.46559906,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_167.mp4,Absent,Absent,Absent,Present,Absent,Absent,Present,Absent,Absent,Absent,Absent, 
159,159,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_168,2/3/2017,13:08:34,18.23731722,-64.97474614,2065344.896,-7232955.655,-40.10800171,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_168.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
160,160,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_169,2/3/2017,12:35:50,18.22050136,-64.97254409,2063374.055,-7232710.524,-42.64929962,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_169.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Absent,Absent,Absent,Absent, 
161,161,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_170,2/4/2017,8:29:32,18.19321173,-64.97206275,2060176.079,-7232656.941,-50.91989899,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_170.mp4,Absent,Present,Absent,Present,Absent,Present,Present,Present,Absent,Absent,Absent,small patch reef
162,162,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_171,2/4/2017,8:01:53,18.21019281,-64.97163161,2062165.973,-7232608.947,-44.51520157,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_171.mp4,Present,Absent,Absent,Present,Absent,Absent,Present,Present,Absent,Absent,Absent, 
163,163,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_172,2/3/2017,12:43:27,18.22650358,-64.97041957,2064077.501,-7232474.023,-40.92649841,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_172.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Present,Absent,Absent,Absent, 
164,164,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_173,2/3/2017,13:25:27,18.25782796,-64.96998516,2067749.039,-7232425.665,-36.91059875,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_173.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Present,Absent,Absent,Absent, 
165,165,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_175,2/3/2017,13:33:26,18.26770722,-64.96632969,2068907.127,-7232018.74,-33.20660019,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_175.mp4,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent, 
166,166,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_176,2/3/2017,13:17:05,18.24282063,-64.96532527,2065989.944,-7231906.928,-40.06610107,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_176.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Present,Absent,Absent,Absent, 
167,167,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_178,2/4/2017,7:53:25,18.21785315,-64.96453149,2063063.698,-7231818.565,-43.90250015,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_178.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Absent,Absent,Absent,Absent, 
168,168,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_179,2/4/2017,8:19:14,18.20163057,-64.9609455,2061162.6,-7231419.374,-50.44350052,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_179.mp4,Absent,Present,Absent,Present,Absent,Present,Present,Present,Absent,Absent,Absent,"small patch reef, algae looks filamentous but hard to tell"
169,169,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_180,2/4/2017,8:11:52,18.20730759,-64.9610165,2061827.861,-7231427.278,-44.3003006,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_180.mp4,Present,Absent,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent, 
170,170,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_181,2/3/2017,12:59:05,18.23130061,-64.95965425,2064639.719,-7231275.633,-42.11970139,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_181.mp4,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,"low abundances of macroalgae, and rhodoliths"
171,171,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_182,2/4/2017,9:48:05,18.21629975,-64.95353465,2062881.65,-7230594.402,-43.37369919,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_182.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
172,172,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_183,2/4/2017,12:27:25,18.25339185,-64.95343407,2067229.042,-7230583.206,-40.89780045,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_183.mp4,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,filamentous algae
173,173,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_184,2/4/2017,12:59:57,18.24030223,-64.95330256,2065694.763,-7230568.566,-41.47340012,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_184.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent,Sand clost to >20%
174,174,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_185,2/4/2017,12:16:56,18.26125037,-64.95256503,2068150.221,-7230486.465,-35.96269989,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_185.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Present,Absent,Absent,Absent, 
175,175,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_186,2/4/2017,9:56:42,18.22262451,-64.95114181,2063622.88,-7230328.033,-44.07630157,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_186.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Absent,Absent,Absent,Absent, 
176,176,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_187,2/4/2017,8:59:33,18.19438194,-64.94918285,2060313.202,-7230109.962,-43.54710007,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_187.mp4,Present,Absent,Absent,Absent,Present,Absent,Present,Present,Absent,Absent,Absent, 
177,177,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_189,2/4/2017,12:43:30,18.25100356,-64.9486539,2066949.093,-7230051.08,-39.81219864,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_189.mp4,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,placard time was 13:45.  Check GPS. Collected 188 at point 189. Removed 188.
178,178,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_190,2/4/2017,9:08:13,18.19453066,-64.94532533,2060330.628,-7229680.545,-48.44300079,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_190.mp4,Absent,Present,Absent,Present,Absent,Present,Absent,Present,Absent,Absent,Absent,"filamentous algae >90%, on reef edge"
179,179,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_191,2/4/2017,12:10:11,18.26346632,-64.94394609,2068409.983,-7229527.009,-32.7038002,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_191.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Present,Absent,Absent,Absent, 
180,180,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_192,2/4/2017,12:51:53,18.24605766,-64.94327006,2066369.362,-7229451.753,-39.78210068,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_192.mp4,Absent,Present,Absent,Present,Absent,Present,Absent,Present,Absent,Absent,Absent,Pavement visible in distance.
181,181,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_194,2/4/2017,10:06:08,18.21927939,-64.94099745,2063230.846,-7229198.768,-43.99409866,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_194.mp4,Absent,Absent,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,meandrina meandrites
182,182,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_195,2/4/2017,12:03:05,18.27047568,-64.94096851,2069231.669,-7229195.546,-32.86959839,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_195.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
183,183,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_196,2/4/2017,9:39:40,18.21164096,-64.93929863,2062335.681,-7229009.656,-44.39569855,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_196.mp4,Present,Absent,Absent,Present,Present,Absent,Present,Present,Absent,Absent,Absent,millepora
184,184,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_197,2/4/2017,10:14:02,18.22822756,-64.93832877,2064279.552,-7228901.692,-43.62659836,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_197.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Present,Absent,Absent,Absent, 
185,185,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_198,2/4/2017,9:31:23,18.20855032,-64.93525219,2061973.493,-7228559.208,-45.29650116,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_198.mp4,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent, 
186,186,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_199,2/4/2017,11:56:06,18.27476257,-64.93485394,2069734.225,-7228514.875,-33.00979996,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_199.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
187,187,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_200,2/4/2017,9:16:30,18.19740393,-64.9319768,2060667.316,-7228194.594,-53.35290146,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_200.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
188,188,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_201,2/4/2017,11:49:33,18.2708786,-64.93155901,2069278.903,-7228148.085,-33.99729919,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_201.mp4,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent, 
189,189,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_202,2/4/2017,11:41:49,18.25899742,-64.92725542,2067886.125,-7227669.012,-36.40940094,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_202.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
190,190,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_203,2/4/2017,10:25:06,18.21894724,-64.92585375,2063191.919,-7227512.979,-44.17750168,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_203.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent, 
191,191,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_204,2/4/2017,10:45:32,18.22761528,-64.92557439,2064207.792,-7227481.881,-43.26100159,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_204.mp4,Absent,Absent,Present,Present,Absent,Absent,Present,Present,Absent,Absent,Absent, 
192,192,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_205,2/4/2017,11:21:25,18.25265251,-64.92044415,2067142.378,-7226910.785,-39.17250061,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_205.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
193,193,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_206,2/4/2017,11:04:59,18.23744746,-64.91929551,2065360.161,-7226782.919,-42.03749847,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_206.mp4,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent, 
194,194,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_207,2/10/2017,10:59:19,18.20883979,-64.91867931,2062007.415,-7226714.324,-45.35919952,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_207.mp4,Absent,Present,Present,Present,Present,Absent,Present,Present,Absent,Absent,Absent,filamentous algae
195,195,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_208,2/4/2017,10:35:59,18.22038485,-64.91860815,2063360.4,-7226706.402,-43.6393013,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_208.mp4,Absent,Present,Present,Present,Absent,Absent,Present,Present,Absent,Absent,Absent,ignored filamentous algae. Southern stingray ~1:08 into video
196,196,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_209,2/4/2017,11:14:13,18.25064749,-64.9177289,2066907.356,-7226608.525,-39.46609879,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_209.mp4,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent, 
197,197,Benthic Habitat Maps for the Insular Shelf South of St. Thomas and St. John,"St. Thomas, USVI",AA,HD Seaviewer Drop Camera,AA2017_210,2/10/2017,9:25:52,18.19256795,-64.91604722,2060100.643,-7226421.321,-52.42639923,https://nccospublicstor.blob.core.windows.net/biomapper/usviinsularshelf2017/videos/low/AA2017_210.mp4,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent, 
