Year,Married Filing Jointly (Rates/Brackets),,Married Filing Jointly ($),Married Filing Separately (Rates/Brackets),,Married Filing Separately ($),Single Filer (Rates/Brackets),,Single Filer ($),Head of Household (Rates/Brackets),,Head of Household ($),Notes:
1970,55.00%,>,"$64,000 ",55.00%,>,"$32,000 ",55.00%,>,"$32,000 ",48.00%,>,"$32,000 ",
1970,58.00%,>,"$76,000 ",58.00%,>,"$38,000 ",58.00%,>,"$38,000 ",50.00%,>,"$36,000 ",
1970,60.00%,>,"$88,000 ",60.00%,>,"$44,000 ",60.00%,>,"$44,000 ",52.00%,>,"$38,000 ",
1970,62.00%,>,"$100,000 ",62.00%,>,"$50,000 ",62.00%,>,"$50,000 ",53.00%,>,"$40,000 ",
1970,64.00%,>,"$120,000 ",64.00%,>,"$60,000 ",64.00%,>,"$60,000 ",55.00%,>,"$44,000 ",
1970,66.00%,>,"$140,000 ",66.00%,>,"$70,000 ",66.00%,>,"$70,000 ",56.00%,>,"$50,000 ",
1970,68.00%,>,"$160,000 ",68.00%,>,"$80,000 ",68.00%,>,"$80,000 ",58.00%,>,"$52,000 ",
1970,69.00%,>,"$180,000 ",69.00%,>,"$90,000 ",69.00%,>,"$90,000 ",59.00%,>,"$64,000 ",
1970,70.00%,>,"$200,000 ",70.00%,>,"$100,000 ",70.00%,>,"$100,000 ",61.00%,>,"$70,000 ",
1970,,,,,,,,,,62.00%,>,"$76,000 ",
1970,,,,,,,,,,63.00%,>,"$80,000 ",
1970,,,,,,,,,,64.00%,>,"$88,000 ",
1970,,,,,,,,,,66.00%,>,"$100,000 ",
1970,,,,,,,,,,67.00%,>,"$120,000 ",
1970,,,,,,,,,,68.00%,>,"$140,000 ",
1970,,,,,,,,,,69.00%,>,"$160,000 ",
1970,,,,,,,,,,70.00%,>,"$180,000 ",
,,,,,,,,,,,,,
1969,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 ,Rates given here exclude the effect of 10 percent surtax. Last law to change rates was the Tax Reform Act of 1969
1969,15.00%,>,"$1,000 ",15.00%,>,$500 ,15.00%,>,$500 ,16.00%,>,"$1,000 ",
1969,16.00%,>,"$2,000 ",16.00%,>,"$1,000 ",16.00%,>,"$1,000 ",18.00%,>,"$2,000 ",
1969,17.00%,>,"$3,000 ",17.00%,>,"$1,500 ",17.00%,>,"$1,500 ",20.00%,>,"$4,000 ",
1969,19.00%,>,"$4,000 ",19.00%,>,"$2,000 ",19.00%,>,"$2,000 ",22.00%,>,"$6,000 ",
1969,22.00%,>,"$8,000 ",22.00%,>,"$4,000 ",22.00%,>,"$4,000 ",25.00%,>,"$8,000 ",
1969,25.00%,>,"$12,000 ",25.00%,>,"$6,000 ",25.00%,>,"$6,000 ",27.00%,>,"$10,000 ",
1969,28.00%,>,"$16,000 ",28.00%,>,"$8,000 ",28.00%,>,"$8,000 ",31.00%,>,"$12,000 ",
1969,32.00%,>,"$20,000 ",32.00%,>,"$10,000 ",32.00%,>,"$10,000 ",32.00%,>,"$14,000 ",
1969,36.00%,>,"$24,000 ",36.00%,>,"$12,000 ",36.00%,>,"$12,000 ",35.00%,>,"$16,000 ",
1969,39.00%,>,"$28,000 ",39.00%,>,"$14,000 ",39.00%,>,"$14,000 ",36.00%,>,"$18,000 ",
1969,42.00%,>,"$32,000 ",42.00%,>,"$16,000 ",42.00%,>,"$16,000 ",40.00%,>,"$20,000 ",
1969,45.00%,>,"$36,000 ",45.00%,>,"$18,000 ",45.00%,>,"$18,000 ",41.00%,>,"$22,000 ",
1969,48.00%,>,"$40,000 ",48.00%,>,"$20,000 ",48.00%,>,"$20,000 ",43.00%,>,"$24,000 ",
1969,50.00%,>,"$44,000 ",50.00%,>,"$22,000 ",50.00%,>,"$22,000 ",45.00%,>,"$26,000 ",
1969,53.00%,>,"$52,000 ",53.00%,>,"$26,000 ",53.00%,>,"$26,000 ",46.00%,>,"$28,000 ",
1969,55.00%,>,"$64,000 ",55.00%,>,"$32,000 ",55.00%,>,"$32,000 ",48.00%,>,"$32,000 ",
1969,58.00%,>,"$76,000 ",58.00%,>,"$38,000 ",58.00%,>,"$38,000 ",50.00%,>,"$36,000 ",
1969,60.00%,>,"$88,000 ",60.00%,>,"$44,000 ",60.00%,>,"$44,000 ",52.00%,>,"$38,000 ",
1969,62.00%,>,"$100,000 ",62.00%,>,"$50,000 ",62.00%,>,"$50,000 ",53.00%,>,"$40,000 ",
1969,64.00%,>,"$120,000 ",64.00%,>,"$60,000 ",64.00%,>,"$60,000 ",55.00%,>,"$44,000 ",
1969,66.00%,>,"$140,000 ",66.00%,>,"$70,000 ",66.00%,>,"$70,000 ",56.00%,>,"$50,000 ",
1969,68.00%,>,"$160,000 ",68.00%,>,"$80,000 ",68.00%,>,"$80,000 ",58.00%,>,"$52,000 ",
1969,69.00%,>,"$180,000 ",69.00%,>,"$90,000 ",69.00%,>,"$90,000 ",59.00%,>,"$64,000 ",
1969,70.00%,>,"$200,000 ",70.00%,>,"$100,000 ",70.00%,>,"$100,000 ",61.00%,>,"$70,000 ",
1969,,,,,,,,,,62.00%,>,"$76,000 ",
1969,,,,,,,,,,63.00%,>,"$80,000 ",
1969,,,,,,,,,,64.00%,>,"$88,000 ",
1969,,,,,,,,,,66.00%,>,"$100,000 ",
1969,,,,,,,,,,67.00%,>,"$120,000 ",
1969,,,,,,,,,,68.00%,>,"$140,000 ",
1969,,,,,,,,,,69.00%,>,"$160,000 ",
1969,,,,,,,,,,70.00%,>,"$180,000 ",
,,,,,,,,,,,,,
1968,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 ,Rates given here exclude the effect of a 7.5 percent surtax. Last law to change rates was the Tax Reform Act of 1964.
1968,15.00%,>,"$1,000 ",15.00%,>,$500 ,15.00%,>,$500 ,16.00%,>,"$1,000 ",
1968,16.00%,>,"$2,000 ",16.00%,>,"$1,000 ",16.00%,>,"$1,000 ",18.00%,>,"$2,000 ",
1968,17.00%,>,"$3,000 ",17.00%,>,"$1,500 ",17.00%,>,"$1,500 ",20.00%,>,"$4,000 ",
1968,19.00%,>,"$4,000 ",19.00%,>,"$2,000 ",19.00%,>,"$2,000 ",22.00%,>,"$6,000 ",
1968,22.00%,>,"$8,000 ",22.00%,>,"$4,000 ",22.00%,>,"$4,000 ",25.00%,>,"$8,000 ",
1968,25.00%,>,"$12,000 ",25.00%,>,"$6,000 ",25.00%,>,"$6,000 ",27.00%,>,"$10,000 ",
1968,28.00%,>,"$16,000 ",28.00%,>,"$8,000 ",28.00%,>,"$8,000 ",31.00%,>,"$12,000 ",
1968,32.00%,>,"$20,000 ",32.00%,>,"$10,000 ",32.00%,>,"$10,000 ",32.00%,>,"$14,000 ",
1968,36.00%,>,"$24,000 ",36.00%,>,"$12,000 ",36.00%,>,"$12,000 ",35.00%,>,"$16,000 ",
1968,39.00%,>,"$28,000 ",39.00%,>,"$14,000 ",39.00%,>,"$14,000 ",36.00%,>,"$18,000 ",
1968,42.00%,>,"$32,000 ",42.00%,>,"$16,000 ",42.00%,>,"$16,000 ",40.00%,>,"$20,000 ",
1968,45.00%,>,"$36,000 ",45.00%,>,"$18,000 ",45.00%,>,"$18,000 ",41.00%,>,"$22,000 ",
1968,48.00%,>,"$40,000 ",48.00%,>,"$20,000 ",48.00%,>,"$20,000 ",43.00%,>,"$24,000 ",
1968,50.00%,>,"$44,000 ",50.00%,>,"$22,000 ",50.00%,>,"$22,000 ",45.00%,>,"$26,000 ",
1968,53.00%,>,"$52,000 ",53.00%,>,"$26,000 ",53.00%,>,"$26,000 ",46.00%,>,"$28,000 ",
1968,55.00%,>,"$64,000 ",55.00%,>,"$32,000 ",55.00%,>,"$32,000 ",48.00%,>,"$32,000 ",
1968,58.00%,>,"$76,000 ",58.00%,>,"$38,000 ",58.00%,>,"$38,000 ",50.00%,>,"$36,000 ",
1968,60.00%,>,"$88,000 ",60.00%,>,"$44,000 ",60.00%,>,"$44,000 ",52.00%,>,"$38,000 ",
1968,62.00%,>,"$100,000 ",62.00%,>,"$50,000 ",62.00%,>,"$50,000 ",53.00%,>,"$40,000 ",
1968,64.00%,>,"$120,000 ",64.00%,>,"$60,000 ",64.00%,>,"$60,000 ",55.00%,>,"$44,000 ",
1968,66.00%,>,"$140,000 ",66.00%,>,"$70,000 ",66.00%,>,"$70,000 ",56.00%,>,"$50,000 ",
1968,68.00%,>,"$160,000 ",68.00%,>,"$80,000 ",68.00%,>,"$80,000 ",58.00%,>,"$52,000 ",
1968,69.00%,>,"$180,000 ",69.00%,>,"$90,000 ",69.00%,>,"$90,000 ",59.00%,>,"$64,000 ",
1968,70.00%,>,"$200,000 ",70.00%,>,"$100,000 ",70.00%,>,"$100,000 ",61.00%,>,"$70,000 ",
1968,,,,,,,,,,62.00%,>,"$76,000 ",
1968,,,,,,,,,,63.00%,>,"$80,000 ",
1968,,,,,,,,,,64.00%,>,"$88,000 ",
1968,,,,,,,,,,66.00%,>,"$100,000 ",
1968,,,,,,,,,,67.00%,>,"$120,000 ",
1968,,,,,,,,,,68.00%,>,"$140,000 ",
1968,,,,,,,,,,69.00%,>,"$160,000 ",
1968,,,,,,,,,,70.00%,>,"$180,000 ",
,,,,,,,,,,,,,
1967,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 ,Last law to change rates was the Tax Reform Act of 1964.
1967,15.00%,>,"$1,000 ",15.00%,>,$500 ,15.00%,>,$500 ,16.00%,>,"$1,000 ",
1967,16.00%,>,"$2,000 ",16.00%,>,"$1,000 ",16.00%,>,"$1,000 ",18.00%,>,"$2,000 ",
1967,17.00%,>,"$3,000 ",17.00%,>,"$1,500 ",17.00%,>,"$1,500 ",20.00%,>,"$4,000 ",
1967,19.00%,>,"$4,000 ",19.00%,>,"$2,000 ",19.00%,>,"$2,000 ",22.00%,>,"$6,000 ",
1967,22.00%,>,"$8,000 ",22.00%,>,"$4,000 ",22.00%,>,"$4,000 ",25.00%,>,"$8,000 ",
1967,25.00%,>,"$12,000 ",25.00%,>,"$6,000 ",25.00%,>,"$6,000 ",27.00%,>,"$10,000 ",
1967,28.00%,>,"$16,000 ",28.00%,>,"$8,000 ",28.00%,>,"$8,000 ",31.00%,>,"$12,000 ",
1967,32.00%,>,"$20,000 ",32.00%,>,"$10,000 ",32.00%,>,"$10,000 ",32.00%,>,"$14,000 ",
1967,36.00%,>,"$24,000 ",36.00%,>,"$12,000 ",36.00%,>,"$12,000 ",35.00%,>,"$16,000 ",
1967,39.00%,>,"$28,000 ",39.00%,>,"$14,000 ",39.00%,>,"$14,000 ",36.00%,>,"$18,000 ",
1967,42.00%,>,"$32,000 ",42.00%,>,"$16,000 ",42.00%,>,"$16,000 ",40.00%,>,"$20,000 ",
1967,45.00%,>,"$36,000 ",45.00%,>,"$18,000 ",45.00%,>,"$18,000 ",41.00%,>,"$22,000 ",
1967,48.00%,>,"$40,000 ",48.00%,>,"$20,000 ",48.00%,>,"$20,000 ",43.00%,>,"$24,000 ",
1967,50.00%,>,"$44,000 ",50.00%,>,"$22,000 ",50.00%,>,"$22,000 ",45.00%,>,"$26,000 ",
1967,53.00%,>,"$52,000 ",53.00%,>,"$26,000 ",53.00%,>,"$26,000 ",46.00%,>,"$28,000 ",
1967,55.00%,>,"$64,000 ",55.00%,>,"$32,000 ",55.00%,>,"$32,000 ",48.00%,>,"$32,000 ",
1967,58.00%,>,"$76,000 ",58.00%,>,"$38,000 ",58.00%,>,"$38,000 ",50.00%,>,"$36,000 ",
1967,60.00%,>,"$88,000 ",60.00%,>,"$44,000 ",60.00%,>,"$44,000 ",52.00%,>,"$38,000 ",
1967,62.00%,>,"$100,000 ",62.00%,>,"$50,000 ",62.00%,>,"$50,000 ",53.00%,>,"$40,000 ",
1967,64.00%,>,"$120,000 ",64.00%,>,"$60,000 ",64.00%,>,"$60,000 ",55.00%,>,"$44,000 ",
1967,66.00%,>,"$140,000 ",66.00%,>,"$70,000 ",66.00%,>,"$70,000 ",56.00%,>,"$50,000 ",
1967,68.00%,>,"$160,000 ",68.00%,>,"$80,000 ",68.00%,>,"$80,000 ",58.00%,>,"$52,000 ",
1967,69.00%,>,"$180,000 ",69.00%,>,"$90,000 ",69.00%,>,"$90,000 ",59.00%,>,"$64,000 ",
1967,70.00%,>,"$200,000 ",70.00%,>,"$100,000 ",70.00%,>,"$100,000 ",61.00%,>,"$70,000 ",
1967,,,,,,,,,,62.00%,>,"$76,000 ",
1967,,,,,,,,,,63.00%,>,"$80,000 ",
1967,,,,,,,,,,64.00%,>,"$88,000 ",
1967,,,,,,,,,,66.00%,>,"$100,000 ",
1967,,,,,,,,,,67.00%,>,"$120,000 ",
1967,,,,,,,,,,68.00%,>,"$140,000 ",
1967,,,,,,,,,,69.00%,>,"$160,000 ",
1967,,,,,,,,,,70.00%,>,"$180,000 ",
,,,,,,,,,,,,,
1966,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 ,Last law to change rates was the Tax Reform Act of 1964.
1966,15.00%,>,"$1,000 ",15.00%,>,$500 ,15.00%,>,$500 ,16.00%,>,"$1,000 ",
1966,16.00%,>,"$2,000 ",16.00%,>,"$1,000 ",16.00%,>,"$1,000 ",18.00%,>,"$2,000 ",
1966,17.00%,>,"$3,000 ",17.00%,>,"$1,500 ",17.00%,>,"$1,500 ",20.00%,>,"$4,000 ",
1966,19.00%,>,"$4,000 ",19.00%,>,"$2,000 ",19.00%,>,"$2,000 ",22.00%,>,"$6,000 ",
1966,22.00%,>,"$8,000 ",22.00%,>,"$4,000 ",22.00%,>,"$4,000 ",25.00%,>,"$8,000 ",
1966,25.00%,>,"$12,000 ",25.00%,>,"$6,000 ",25.00%,>,"$6,000 ",27.00%,>,"$10,000 ",
1966,28.00%,>,"$16,000 ",28.00%,>,"$8,000 ",28.00%,>,"$8,000 ",31.00%,>,"$12,000 ",
1966,32.00%,>,"$20,000 ",32.00%,>,"$10,000 ",32.00%,>,"$10,000 ",32.00%,>,"$14,000 ",
1966,36.00%,>,"$24,000 ",36.00%,>,"$12,000 ",36.00%,>,"$12,000 ",35.00%,>,"$16,000 ",
1966,39.00%,>,"$28,000 ",39.00%,>,"$14,000 ",39.00%,>,"$14,000 ",36.00%,>,"$18,000 ",
1966,42.00%,>,"$32,000 ",42.00%,>,"$16,000 ",42.00%,>,"$16,000 ",40.00%,>,"$20,000 ",
1966,45.00%,>,"$36,000 ",45.00%,>,"$18,000 ",45.00%,>,"$18,000 ",41.00%,>,"$22,000 ",
1966,48.00%,>,"$40,000 ",48.00%,>,"$20,000 ",48.00%,>,"$20,000 ",43.00%,>,"$24,000 ",
1966,50.00%,>,"$44,000 ",50.00%,>,"$22,000 ",50.00%,>,"$22,000 ",45.00%,>,"$26,000 ",
1966,53.00%,>,"$52,000 ",53.00%,>,"$26,000 ",53.00%,>,"$26,000 ",46.00%,>,"$28,000 ",
1966,55.00%,>,"$64,000 ",55.00%,>,"$32,000 ",55.00%,>,"$32,000 ",48.00%,>,"$32,000 ",
1966,58.00%,>,"$76,000 ",58.00%,>,"$38,000 ",58.00%,>,"$38,000 ",50.00%,>,"$36,000 ",
1966,60.00%,>,"$88,000 ",60.00%,>,"$44,000 ",60.00%,>,"$44,000 ",52.00%,>,"$38,000 ",
1966,62.00%,>,"$100,000 ",62.00%,>,"$50,000 ",62.00%,>,"$50,000 ",53.00%,>,"$40,000 ",
1966,64.00%,>,"$120,000 ",64.00%,>,"$60,000 ",64.00%,>,"$60,000 ",55.00%,>,"$44,000 ",
1966,66.00%,>,"$140,000 ",66.00%,>,"$70,000 ",66.00%,>,"$70,000 ",56.00%,>,"$50,000 ",
1966,68.00%,>,"$160,000 ",68.00%,>,"$80,000 ",68.00%,>,"$80,000 ",58.00%,>,"$52,000 ",
1966,69.00%,>,"$180,000 ",69.00%,>,"$90,000 ",69.00%,>,"$90,000 ",59.00%,>,"$64,000 ",
1966,70.00%,>,"$200,000 ",70.00%,>,"$100,000 ",70.00%,>,"$100,000 ",61.00%,>,"$70,000 ",
1966,,,,,,,,,,62.00%,>,"$76,000 ",
1966,,,,,,,,,,63.00%,>,"$80,000 ",
1966,,,,,,,,,,64.00%,>,"$88,000 ",
1966,,,,,,,,,,66.00%,>,"$100,000 ",
1966,,,,,,,,,,67.00%,>,"$120,000 ",
1966,,,,,,,,,,68.00%,>,"$140,000 ",
1966,,,,,,,,,,69.00%,>,"$160,000 ",
1966,,,,,,,,,,70.00%,>,"$180,000 ",
,,,,,,,,,,,,,
1965,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 ,Last law to change rates was the Tax Reform Act of 1964.
1965,15.00%,>,"$1,000 ",15.00%,>,$500 ,15.00%,>,$500 ,16.00%,>,"$1,000 ",
1965,16.00%,>,"$2,000 ",16.00%,>,"$1,000 ",16.00%,>,"$1,000 ",18.00%,>,"$2,000 ",
1965,17.00%,>,"$3,000 ",17.00%,>,"$1,500 ",17.00%,>,"$1,500 ",20.00%,>,"$4,000 ",
1965,19.00%,>,"$4,000 ",19.00%,>,"$2,000 ",19.00%,>,"$2,000 ",22.00%,>,"$6,000 ",
1965,22.00%,>,"$8,000 ",22.00%,>,"$4,000 ",22.00%,>,"$4,000 ",25.00%,>,"$8,000 ",
1965,25.00%,>,"$12,000 ",25.00%,>,"$6,000 ",25.00%,>,"$6,000 ",27.00%,>,"$10,000 ",
1965,28.00%,>,"$16,000 ",28.00%,>,"$8,000 ",28.00%,>,"$8,000 ",31.00%,>,"$12,000 ",
1965,32.00%,>,"$20,000 ",32.00%,>,"$10,000 ",32.00%,>,"$10,000 ",32.00%,>,"$14,000 ",
1965,36.00%,>,"$24,000 ",36.00%,>,"$12,000 ",36.00%,>,"$12,000 ",35.00%,>,"$16,000 ",
1965,39.00%,>,"$28,000 ",39.00%,>,"$14,000 ",39.00%,>,"$14,000 ",36.00%,>,"$18,000 ",
1965,42.00%,>,"$32,000 ",42.00%,>,"$16,000 ",42.00%,>,"$16,000 ",40.00%,>,"$20,000 ",
1965,45.00%,>,"$36,000 ",45.00%,>,"$18,000 ",45.00%,>,"$18,000 ",41.00%,>,"$22,000 ",
1965,48.00%,>,"$40,000 ",48.00%,>,"$20,000 ",48.00%,>,"$20,000 ",43.00%,>,"$24,000 ",
1965,50.00%,>,"$44,000 ",50.00%,>,"$22,000 ",50.00%,>,"$22,000 ",45.00%,>,"$26,000 ",
1965,53.00%,>,"$52,000 ",53.00%,>,"$26,000 ",53.00%,>,"$26,000 ",46.00%,>,"$28,000 ",
1965,55.00%,>,"$64,000 ",55.00%,>,"$32,000 ",55.00%,>,"$32,000 ",48.00%,>,"$32,000 ",
1965,58.00%,>,"$76,000 ",58.00%,>,"$38,000 ",58.00%,>,"$38,000 ",50.00%,>,"$36,000 ",
1965,60.00%,>,"$88,000 ",60.00%,>,"$44,000 ",60.00%,>,"$44,000 ",52.00%,>,"$38,000 ",
1965,62.00%,>,"$100,000 ",62.00%,>,"$50,000 ",62.00%,>,"$50,000 ",53.00%,>,"$40,000 ",
1965,64.00%,>,"$120,000 ",64.00%,>,"$60,000 ",64.00%,>,"$60,000 ",55.00%,>,"$44,000 ",
1965,66.00%,>,"$140,000 ",66.00%,>,"$70,000 ",66.00%,>,"$70,000 ",56.00%,>,"$50,000 ",
1965,68.00%,>,"$160,000 ",68.00%,>,"$80,000 ",68.00%,>,"$80,000 ",58.00%,>,"$52,000 ",
1965,69.00%,>,"$180,000 ",69.00%,>,"$90,000 ",69.00%,>,"$90,000 ",59.00%,>,"$64,000 ",
1965,70.00%,>,"$200,000 ",70.00%,>,"$100,000 ",70.00%,>,"$100,000 ",61.00%,>,"$70,000 ",
1965,,,,,,,,,,62.00%,>,"$76,000 ",
1965,,,,,,,,,,63.00%,>,"$80,000 ",
1965,,,,,,,,,,64.00%,>,"$88,000 ",
1965,,,,,,,,,,66.00%,>,"$100,000 ",
1965,,,,,,,,,,67.00%,>,"$120,000 ",
1965,,,,,,,,,,68.00%,>,"$140,000 ",
1965,,,,,,,,,,69.00%,>,"$160,000 ",
1965,,,,,,,,,,70.00%,>,"$180,000 ",
,,,,,,,,,,,,,
1964,16.00%,>,$0 ,16.00%,>,$0 ,16.00%,>,$0 ,16.00%,>,$0 ,Last law to change rates was the Tax Reform Act of 1964.
1964,16.50%,>,"$1,000 ",16.50%,>,$500 ,16.50%,>,$500 ,17.50%,>,"$1,000 ",
1964,17.50%,>,"$2,000 ",17.50%,>,"$1,000 ",17.50%,>,"$1,000 ",19.00%,>,"$2,000 ",
1964,18.00%,>,"$3,000 ",18.00%,>,"$1,500 ",18.00%,>,"$1,500 ",22.00%,>,"$4,000 ",
1964,20.00%,>,"$4,000 ",20.00%,>,"$2,000 ",20.00%,>,"$2,000 ",23.00%,>,"$6,000 ",
1964,23.50%,>,"$8,000 ",23.50%,>,"$4,000 ",23.50%,>,"$4,000 ",27.00%,>,"$8,000 ",
1964,27.00%,>,"$12,000 ",27.00%,>,"$6,000 ",27.00%,>,"$6,000 ",29.00%,>,"$10,000 ",
1964,30.50%,>,"$16,000 ",30.50%,>,"$8,000 ",30.50%,>,"$8,000 ",32.00%,>,"$12,000 ",
1964,34.00%,>,"$20,000 ",34.00%,>,"$10,000 ",34.00%,>,"$10,000 ",34.00%,>,"$14,000 ",
1964,37.50%,>,"$24,000 ",37.50%,>,"$12,000 ",37.50%,>,"$12,000 ",37.50%,>,"$16,000 ",
1964,41.00%,>,"$28,000 ",41.00%,>,"$14,000 ",41.00%,>,"$14,000 ",39.00%,>,"$18,000 ",
1964,44.50%,>,"$32,000 ",44.50%,>,"$16,000 ",44.50%,>,"$16,000 ",42.50%,>,"$20,000 ",
1964,47.50%,>,"$36,000 ",47.50%,>,"$18,000 ",47.50%,>,"$18,000 ",43.50%,>,"$22,000 ",
1964,50.50%,>,"$40,000 ",50.50%,>,"$20,000 ",50.50%,>,"$20,000 ",45.50%,>,"$24,000 ",
1964,53.50%,>,"$44,000 ",53.50%,>,"$22,000 ",53.50%,>,"$22,000 ",47.00%,>,"$26,000 ",
1964,56.00%,>,"$52,000 ",56.00%,>,"$26,000 ",56.00%,>,"$26,000 ",48.50%,>,"$28,000 ",
1964,58.50%,>,"$64,000 ",58.50%,>,"$32,000 ",58.50%,>,"$32,000 ",51.50%,>,"$32,000 ",
1964,61.00%,>,"$76,000 ",61.00%,>,"$38,000 ",61.00%,>,"$38,000 ",53.00%,>,"$36,000 ",
1964,63.50%,>,"$88,000 ",63.50%,>,"$44,000 ",63.50%,>,"$44,000 ",54.00%,>,"$38,000 ",
1964,66.00%,>,"$100,000 ",66.00%,>,"$50,000 ",66.00%,>,"$50,000 ",56.00%,>,"$40,000 ",
1964,68.50%,>,"$120,000 ",68.50%,>,"$60,000 ",68.50%,>,"$60,000 ",58.50%,>,"$44,000 ",
1964,71.00%,>,"$140,000 ",71.00%,>,"$70,000 ",71.00%,>,"$70,000 ",59.50%,>,"$50,000 ",
1964,73.50%,>,"$160,000 ",73.50%,>,"$80,000 ",73.50%,>,"$80,000 ",61.00%,>,"$52,000 ",
1964,75.00%,>,"$180,000 ",75.00%,>,"$90,000 ",75.00%,>,"$90,000 ",62.00%,>,"$60,000 ",
1964,76.50%,>,"$200,000 ",76.50%,>,"$100,000 ",76.50%,>,"$100,000 ",63.50%,>,"$64,000 ",
1964,77.00%,>,"$400,000 ",77.00%,>,"$200,000 ",77.00%,>,"$200,000 ",65.00%,>,"$70,000 ",
1964,,,,,,,,,,66.00%,>,"$76,000 ",
1964,,,,,,,,,,67.00%,>,"$80,000 ",
1964,,,,,,,,,,69.00%,>,"$88,000 ",
1964,,,,,,,,,,69.50%,>,"$90,000 ",
1964,,,,,,,,,,71.00%,>,"$100,000 ",
1964,,,,,,,,,,72.50%,>,"$120,000 ",
1964,,,,,,,,,,74.00%,>,"$140,000 ",
1964,,,,,,,,,,75.00%,>,"$160,000 ",
1964,,,,,,,,,,75.50%,>,"$180,000 ",
1964,,,,,,,,,,77.00%,>,"$200,000 ",
,,,,,,,,,,,,,
1963,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,Last law to change rates was the Internal Revenue Code of 1954.
1963,22.00%,>,"$4,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",21.00%,>,"$2,000 ",
1963,26.00%,>,"$8,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",24.00%,>,"$4,000 ",
1963,30.00%,>,"$12,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",26.00%,>,"$6,000 ",
1963,34.00%,>,"$16,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",30.00%,>,"$8,000 ",
1963,38.00%,>,"$20,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",32.00%,>,"$10,000 ",
1963,43.00%,>,"$24,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",36.00%,>,"$12,000 ",
1963,47.00%,>,"$28,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",39.00%,>,"$14,000 ",
1963,50.00%,>,"$32,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",42.00%,>,"$16,000 ",
1963,53.00%,>,"$36,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",43.00%,>,"$18,000 ",
1963,56.00%,>,"$40,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",47.00%,>,"$20,000 ",
1963,59.00%,>,"$44,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",49.00%,>,"$22,000 ",
1963,62.00%,>,"$52,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",52.00%,>,"$24,000 ",
1963,65.00%,>,"$64,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",54.00%,>,"$28,000 ",
1963,69.00%,>,"$76,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",58.00%,>,"$32,000 ",
1963,72.00%,>,"$88,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",62.00%,>,"$38,000 ",
1963,75.00%,>,"$100,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",66.00%,>,"$44,000 ",
1963,78.00%,>,"$120,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",68.00%,>,"$50,000 ",
1963,81.00%,>,"$140,000 ",81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",71.00%,>,"$60,000 ",
1963,84.00%,>,"$160,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",74.00%,>,"$70,000 ",
1963,87.00%,>,"$180,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",76.00%,>,"$80,000 ",
1963,89.00%,>,"$200,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",80.00%,>,"$90,000 ",
1963,90.00%,>,"$300,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",83.00%,>,"$100,000 ",
1963,91.00%,>,"$400,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",87.00%,>,"$150,000 ",
1963,,,,,,,,,,90.00%,>,"$200,000 ",
1963,,,,,,,,,,91.00%,>,"$300,000 ",
,,,,,,,,,,,,,
1962,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,Last law to change rates was the Internal Revenue Code of 1954.
1962,22.00%,>,"$4,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",21.00%,>,"$2,000 ",
1962,26.00%,>,"$8,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",24.00%,>,"$4,000 ",
