Index,category,description,nagari,word
453,insect,bee,मधुकृत,madhukrit
454,insect,fly,मक्ष,maksh
455,insect,"fly, bee",मक्षिका,makshika
456,insect,biting fly or mosquito,मशक,mashak
457,insect,winged insect,पतंग,patang
458,insect,ant,पिपीला,pipila
459,insect,ant,पिपीलिका,pipilika
460,insect,"the name of a noxious insect, possibly some species of ant, mentioned in the list of victims at the ashwamedh (horse sacrifice)",प्लुषि,plushi
461,insect,the name of a noxious insect,प्रकन्टक,prakankat
462,insect,bee,सरघ,saragh
463,insect,bee,सरह,sarah
464,insect,stinging insect,सूचीका,suchika
465,insect,grain-boring insect,तर्द,tard
466,insect,caterpillar,तृणजलायुक,trnajalayuk
467,insect,grasshopper,तृणस्कन्द,trnaskand
468,insect,ant,उपजीका,upajika
469,insect,a noxious insect injurious to seeds,उपक्वास,upakvas
470,insect,spider,ऊर्णनाभि,urnanabhi
471,insect,the name of a destructive insect,येवाष,yevash
472,snake,"a snake, poisonous; can be killed by the nakula (ichneumon) which is immune to the poison",अहि,ahi
473,snake,"boa constrictor, mentioned in the list of victims at the ashwamedh (horse sacrifice)",अजगर,ajagar
474,snake,a poisonous snake,आशीविष,ashivish
475,snake,a black snake,असित,asit
476,snake,the coil of a snake,भोग,bhog
477,snake,a ladle or a snake's hood,दर्वि,darvi
478,snake,the name of a snake,दशोनासि,dashonasi
479,snake,the name of a speckle-necked snake,कल्माषग्रीव,kalmashagriv
480,snake,the name of a snake,करिक्रत,karikrat
481,snake,the name of a snake,कसरणील,kasarnil
482,snake,"red snake, mentioned in the list of victims at the ashwamedh (horse sacrifice)",लोहिताहि,lohitahi
483,snake,a snake or an elephant,नग,nag
484,snake,the name of a snake in the list of victims at the ashwamedh (horse sacrifice); its skin was especially valuable,पृदाकु,pridaku
485,snake,the name of a snake,रथर्वी,ratharvi
486,snake,snake,सर्प,sarp
487,snake,an aquatic snake,सतीनकङ्कट,satinakankat
488,snake,the name of a snake or a demon,शेरभ,sherabh
489,snake,the name of a snake or a demon,शेवृध,shevridh
490,snake,the name of a white snake,श्वित्र,shvitra
491,snake,viper,स्वज,svaj
492,snake,species of snake,तैमात,taimat
493,snake,the name of a striped snake,तिरश्चराजि,tirashcharaji
494,snake,"boa constrictor, mentioned in the list of victims at the ashwamedh (horse sacrifice)",वाहस,vahas
495,snake,the name of a snake,विलिगी,viligi
496,snake,the name of a tree-creeping worm or snake,वृक्षसर्पी,vrikshasarpi
497,worm,the name of a worm,अलाण्डु,alandu
498,worm,the name of a worm,अवस्कव,avaskav
499,worm,a worm that destroys the leaves of trees,कपना,kapana
500,worm,the name of a worm,कषकषा,kashkasha
501,worm,the name of a worm,कीट,kit
502,worm,the name of a worm,कृमि,krimi
503,worm,the name of a worm,कुरूरु,kururu
504,worm,"the name of a worm, mentioned in the list of victims at the ashwamedh (horse sacrifice)",नीलांगु,nilangu
505,worm,the name of a worm,शलुन,shalun
506,worm,the name of a worm,शवर्त,shavart
507,worm,the name of a worm,शिपवित्नुक,shipavitnuk
508,worm,the name of a worm found in dogs,श्ववर्त,shvavart
509,worm,a species of worm,स्तेग,steg
510,worm,the name of a tree-creeping worm or snake,वृक्षसर्पी,vrikshasarpi
511,building,house,अगार,agar
512,building,the central hall containing the fireplace,अग्निशाला,agnishala
513,building,wickerwork stretched across a beam and sloping down to both sides like a thatched roof,अक्षु,akshu
514,building,fireplace,आष्ट्री,ashtri
515,building,the framework of the door of a house,आता,ata
516,building,"a house for receiving guests at feasts and sacrifices, somewhat like the dharmashala as a resthouse for pilgrims",आवसथ,avasath
517,building,broadroofed house,बृहद्छदिस,brhadchhadis
518,building,the covering of a wagon or the thatch of a house,छदिस,chadis
519,building,house,दम,dam
520,building,treasurehouse,धनधानी,dhanadhani
521,building,door,दुर,dur
522,building,home,दुरोण,duron
523,building,doorpost,दुर्या,durya
524,building,house,दुर्योण,duryon
525,building,door,द्वार,dvar
526,building,doorfastener,द्वारपिधान,dvarapidhan
527,building,house,गय,gay
528,building,house,गृह,grh
529,building,house,हर्म्य,harmya
530,building,"place of deposit, store, treasure",निधि,nidhi
531,building,"dwelling, and sometimes, a resting place for animals",निवेशन,niveshana
532,building,"sides of a house, sides of a chariot, wing of a door",पक्ष,paksh
533,building,bundle of straw or reeds to thatch the house and render the sides wind and weather proof,पलद,palad
534,building,crossbeam,परिमित,parimit
535,building,house,पस्त्या,pastya
536,building,supporting beam of the roof facing east,प्राचीनवंश,pracinavamsh
537,building,palace,प्रासाद,prasad
538,building,support,प्रतिमित,pratimit
539,building,"a raised bank for crossing an innundated field, a causeway",सेतु,setu
540,building,house,शाला,shala
541,building,grit or gravel,शर्करा,sharkara
542,building,pillar,स्तम्भ,stambh
543,building,stump or post of wood,स्थाणु,sthanu
544,building,post or pillar of a house,स्थूण,sthun
545,building,"sweet drink, water well",सूद,sud
546,building,strap that fastens the doors of a house,स्यूमन,syuman
547,building,"grass, used for thatching a house or hut",तृण,trin
548,building,pillar,उपमित,upamit
549,building,"abode, house",वसति,vasati
550,building,ridge of the roof,विषूवन्त,vishuvant
551,chariot,the axle of a chariot,अक्ष,aksh
552,chariot,"lynchpin, the part of the axle around which the nave of the wheel revolved",आणि,ani
553,chariot,"part of a chariot, probably the sides or wheels",अङ्क,ank
554,chariot,a plant (Colosanthes indica) from the wood of which the axle of a chariot was sometimes made,अरटु,aratu
555,chariot,a part of a chariot,भग,bhag
556,chariot,wheel,चक्र,chakra
557,chariot,"the side horse on the right; when four horses were attached to a chariot, the right and left yoke horses were in the middle, flanked by one on each side which were probably not fastened to the yoke at all but by traces alongside the yoke horses",दक्षिणाप्रष्टि,dakshinaprasti
558,chariot,the right-yoke horse,दक्षिणायुग्य,dakshinayugya
559,chariot,that part of the yoke which is placed on the shoulders of the animals drawing the chariot or cart,धुर,dhur
560,chariot,chariot having a long front part,दीर्घाप्सस,dirghapsas
561,chariot,the seat of the chariot on which the archer sat; seems to have been quite large,गर्त,gart
562,chariot,the pole of a chariot,ईषा,isha
563,chariot,"part of a chariot, possibly the seat",ककुह,kakuh
564,chariot,a piece of wood used as a prop for the end of a wagon pole to rest on,कस्तंम्भी,kastambhi
565,chariot,the hole in the nave of the wheel in which the axle is inserted,ख,kha
566,chariot,the body of the chariot,कोश,kosh
567,chariot,post to support the pole of a chariot,मेथी,methi
568,chariot,the nave of a chariot wheel,नाभि,nabhi
569,chariot,box of chariot wheel,नाड़ी,nadi
570,chariot,felly of a chariot wheel,नेमि,nemi
571,chariot,part of a chariot,न्यंक,nyank
572,chariot,"sides of a house, sides of a chariot, wing of a door",पक्ष,paksh
573,chariot,the rim of a chariot,परिरथ्य,parirathya
574,chariot,footmen who run around the chariot,परिस्कन्द,pariskand
575,chariot,"part of the chariot, possibly a piece of wood on the axle to hold the pole of the car",पातल्य,patalya
576,chariot,rim,पवि,pavi
577,chariot,felly of a chariot wheel,प्रधि,pradhi
578,chariot,"side horse running beside the yoke horses, or a third horse yoked in the front as a leader",प्रष्टि,prashti
579,chariot,part of the chariot on which the bride is taken home,प्रतिधि,pratidhi
580,chariot,the fore part of pole,प्रउग,praug
581,chariot,"horse, either one yoked to the front as a leader or one drawing a chariot for the first time",पूर्ववह,purvavah
582,chariot,supporting shaft of a chariot,रभि,rabhi
583,chariot,cord or rope used for the various fastenings of a horse,रशना,rashana
584,chariot,"ropes, generally; also, reins, traces; also, rays of the sun",रश्मि,rashmi
585,chariot,chariot,रथ,rath
586,chariot,chariot wheel,रथचक्र,rathachakr
587,chariot,pathway of the chariot,रथचर्षण,rathacharshan
588,chariot,chariot axle,रथाक्ष,rathaksh
589,chariot,the fore part of chariot,रथमुख,rathamukh
590,chariot,the nave of chariot wheel,रथनाभि,rathanabhi
591,chariot,the fore part of chariot,रथशीर्ष,rathashirsh
592,chariot,a movable stand to hold a chariot,रथवाहन,rathavahan
593,chariot,"the bottom or lower part of the chariot, on which stand the driver and the warrior",रथोपस्थ,rathopasth
594,chariot,charioteer,संग्राहितृ,samgrahitr
595,chariot,chariot fighter,सव्यष्ठ,savyasth
596,chariot,the left-yoke horse,साव्यायुग्य,savyayugya
597,chariot,silk cotton tree (Salmalia malabarica); the chariot of the bridal procession is made of its wood,शल्मलि,shalmali
598,chariot,driver or horses or chariot,स्थातृ,sthatr
599,chariot,one-horsed,स्थूरि,sthuri
600,chariot,chariot,स्यन्दन,syandan
601,chariot,hole in the yoke or in the skin,तर्दमन,tardman
602,chariot,"some part of a chariot, probably the seat",उद्धि,uddhi
603,chariot,the body of the chariot,उपह्वार,upahvar
604,chariot,part of a chariot,वनस्पति,vanaspati
605,chariot,the seat of the chariot,वन्धुर,vandhur
606,chariot,"a thong or strap used to tie oxen to the yoke, yoke to the pole, or draw up water from a well",वरत्रा,varatra
607,chariot,the felly of a chariot,वर्तनि,vartani
608,chariot,"one who unharnesses horses from a chariot, mentioned in the list of victims at the purusamedh (human sacrifice)",विमोक्तृ,vimoktri
609,chariot,vehicle suited for rough roads,विपथ,vipath
610,chariot,yoke of oxen or horses,योग,yog
611,chariot,thongs for yoking a chariot or a cart,योक्त्र,yoktr
612,chariot,one who yokes horses to chariots,योक्तृ,yoktri
613,chariot,the yoke of a chariot,युग,yug
614,chariot,yoke of oxen,युक्त,yukt
615,food,butter,आज्या,ajya
616,food,a kind of grain,आम्ब,amb
617,food,clotted curds,आमिक्ष,amiksh
618,food,a cultivated grain (Panicum miliaceum),अणु,anu
619,food,cake,अपूप,apup
620,food,sour milk,दधि,dadhi
621,food,the grains of corn,धाना,dhana
622,food,grain,धान्य,dhanya
623,food,"a drop, a thick drop rather than a small drop, most often used for soma",द्रप्स,draps
624,food,wild bean,गर्मुत,garmut
625,food,a type of grass (Coix barbata),गवीधूका,gavidhuka
626,food,ghee,घृत,ghrt
627,food,milk,गो,go
628,food,wheat,गोधूम,godhum
629,food,"a kind of porridge made of grain that was unhusked, parched slightly, and kneaded",करम्भ,karambh
630,food,the name of a lentil (Dolichos uniflorus),खलकुल,khalakul
631,food,the name of a type of beans (Phaseolus radiatus),खल्व,khalv
632,food,a sweet drink,कीलाल,kilala
633,food,milk,क्षीर,kshir
634,food,rice cooked with milk,क्षीरौदन,kshiraudan
635,food,beans that have gone bad; sour gruel,कुलमाष,kulmash
636,food,"anything sweet used as food, especially soma, milk, mead, or honey",मधु,madhu
637,food,intoxicating liquor,मद्य,madya
638,food,meat cooked with rice,मांसौदन,mamsaudan
639,food,meat,मांस,mans
640,food,"beverage made of rice, millet, grass, and parched barley",मासर,masar
641,food,pounded beans,माषाह,mashah
642,food,sour curds,मस्तु,mastu
643,food,the name of a lentil (Ervum hirsutum),मसूर,masur
644,food,the name of a grain of the north country,मसूस्य,masusya
645,food,the name of a bean (Phaseolus mungo),मुद्ग,mudg
646,food,a soup of rice with beans,मुद्गौदन,mudgaudan
647,food,the name of a grain,नाम्ब,namb
648,food,fresh butter,नवनीत,navanit
649,food,wild rice,निवार,nivar
650,food,grain cooked with milk,ओदन,odan
651,food,cooked food,पचत,pachat
652,food,"cooked food, probably some kind of cake",पक्ति,pakti
653,food,"cooked food, cooked milk, or baked bricks",पक्व,pakv
654,food,straw,पलाल,palal
655,food,chaff,पलाव,palav
656,food,drink,पान,pana
657,food,drink,पान्त,pant
658,food,the name of an intoxicating drink,परिस्रुत,parisrut
659,food,fried grains of rice,परिवाप,parivap
660,food,sheaf thrown over the threshing floor,पर्ष,parsh
661,food,milk,पयस,payas
662,food,"curds, a mixture of sour milk and hot or cold fresh milk",पयस्या,payasya
663,food,creamy butter,फाण्ट,phant
664,food,"ball of flour, especially one that's offered to the departed on the evening of the new moon",पिण्ड,pind
665,food,flour,पिष्ट,pisht
666,food,"food and drinks, nourishment",पितु,pitu
667,food,"biestings, first milk of the cow after calving",पीयूष,piyush
668,food,fast growing rice,प्लाशुका,plashuka
669,food,fresh milk,प्रतिदुह,pratiduh
670,food,"sprinkled butter, that is, butter mixed with sour milk",पृषदाज्या,prishadajya
671,food,"mixture of curds, honey, and butter",पृषातक,prishatak
672,food,name of the 'panic seed' plant (Panicum italicum),प्रियंगु,priyangu
673,food,shrivelled grain,पूल्प,pulp
674,food,shrivelled grain,पूल्य,pulya
675,food,sacrificial cake,पुरोडाश,purodash
676,food,"coarsely ground meals or groats; especially, barley meal",सक्तु,saktu
677,food,melted butter,सर्पिस,sarpis
678,food,corn,सस्य,sasya
679,food,rice,शालि,shali
680,food,edible roots of the lotus,शालूक,shaluk
681,food,millet (Panicum frumentaceum),श्यामाक,shyamak
682,food,"sweet drink, well",सूद,sud
683,food,intoxicating spirituous liquor,सुरा,sura
684,food,sesamum oil,तैल,tail
685,food,rice grains,तण्डुल,tandul
686,food,gruel,तिर्य,tirya
687,food,husk,तुष,tush
688,food,"a species of grain (Wrightia antidysenterica), also called indrayava",उपवाक,upavaka
689,food,a mixture of hot fresh milk and sour milk,वाजिन,vajin
690,food,special kind of porridge,विष्टारिन,vishtarin
691,food,rice,व्रीहि,vrihi
692,food,"grain, in the generic sense, and sometimes specifically, barley",यव,yav
693,food,barley gruel or a weak decoction of any grain,यवागु,yavagu
694,grain,a kind of grain,आम्ब,amb
695,grain,a cultivated grain (Panicum miliaceum),अणु,anu
696,grain,the grains of corn,धाना,dhana
697,grain,grain,धान्य,dhanya
698,grain,wild bean,गर्मुत,garmut
699,grain,a type of grass (Coix barbata),गवीधूका,gavidhuka
700,grain,wheat,गोधूम,godhum
701,grain,"a species of grain (Wrightia antidysenterica), also called upavak",इन्द्रयव,indrayav
702,grain,"a species of grain (Wrightia antidysenterica), also called upavak",इन्द्रयव,indrayav
703,grain,the name of a lentil (Dolichos uniflorus),खलकुल,khalakul
704,grain,the name of a type of beans (Phaseolus radiatus),खल्व,khalv
705,grain,beans that have gone bad; sour gruel,कुलमाष,kulmash
706,grain,the name of a lentil (Ervum hirsutum),मसूर,masur
707,grain,the name of a grain of the north country,मसूस्य,masusya
708,grain,the name of a bean (Phaseolus mungo),मुद्ग,mudg
709,grain,the name of a grain,नाम्ब,namb
710,grain,wild rice,निवार,nivar
711,grain,straw,पलाल,palal
712,grain,chaff,पलाव,palav
713,grain,sheaf thrown over the threshing floor,पर्ष,parsh
714,grain,fast growing rice,प्लाशुका,plashuka
715,grain,name of the 'panic seed' plant (Panicum italicum),प्रियंगु,priyangu
716,grain,shrivelled grain,पूल्प,pulp
717,grain,shrivelled grain,पूल्य,pulya
718,grain,"coarsely ground meals or groats; especially, barley meal",सक्तु,saktu
719,grain,corn,सस्य,sasya
720,grain,rice,शालि,shali
721,grain,millet (Panicum frumentaceum),श्यामाक,shyamak
722,grain,rice grains,तण्डुल,tandul
723,grain,green shoots of any kind of grain,तोक्मन,tokman
724,grain,husk,तुष,tush
725,grain,"a species of grain (Wrightia antidysenterica), also called indrayava",उपवाक,upavaka
726,grain,rice,व्रीहि,vrihi
727,grain,"grain, in the generic sense, and sometimes specifically, barley",यव,yav
728,metal,bronze or iron,अयस,ayas
729,metal,gold,चन्द्र,chandra
730,metal,gold,हरित,harit
731,metal,gold,हिरण्य,hiranya
732,metal,gold,जातरूप,jatarupa
733,metal,iron,कार्ष्णायस,karshnayas
734,metal,"red metal, probably copper but possibly bronze",लोह,loh
735,metal,"red metal, as distinct from ayas and gold; probably copper",लोहायस,lohayas
736,metal,"red mental, probably copper",लोहितायस,lohitayas
737,metal,silver,रजत,rajat
738,metal,iron,श्याम,shyam
739,metal,lead,सीस,sis
740,metal,gold,सुवर्ण,suvarn
741,metal,tin,त्रपु,trapu
742,object,buckets of wood,आहाव,ahav
743,object,soma vessel,अमत्र,amatr
744,object,"draft wagon (as opposed to the chariot, which is used for war or sport)",अनस,anas
745,object,coal shovel or tongs,अङ्गारावक्षायन,angaravakshayan
746,object,"a weapon of Pushan; later, an awl or gimlet used for piercing leather",आरा,ara
747,object,oar,अरित्र,aritr
748,object,a vessel for liquids such as meat juice or ghee,आसेचन,asechan
749,object,"plougher's goad, the badge of agriculture",अष्ट्रा,ashtra
750,object,a leathern bottle or pouch,भस्त्रा,bhastra
751,object,a mat of split reeds,भित्ति,bhitti
752,object,an earth drum (a pit covered with hide and used at the mahavrat rite),भूमिदुन्दुभि,bhumidundubhi
753,object,"scissors, or maybe pliers or a carpenter's vice",भुरिज,bhurij
754,object,"drinking vessel, used for holding the soma during a sacrifice",चमस,chamas
755,object,"a vessel into which the soma was poured from the press; sometimes, the mortar in which the soma was pressed",चमू,chamu
756,object,sacrificial vessel,चप्य,chapya
757,object,"a kettle or pot, with a lid and a hook by which it could be hung over the fire; usually of iron or bronze",चरु,charu
758,object,a mortar-shaped top piece of the sacrificial post (yup),चषल,chashal
759,object,a ladle or a snake's hood,दर्वि,darvi
760,object,sickle,दात्र,datra
761,object,"reed or pipe; also, an artery, a vein, or an intestinal channel",धमनि,dhamani
762,object,fan of hide or leather used for fanning the sacrificial fire,धवित्र,dhavitr
763,object,firetongs,धृष्टि,dhrshti
764,object,a wooden trough or vessel for holding the soma,द्रोण,dron
765,object,a stone used for pounding grain,दृषद,drshad
766,object,a leather bag to hold fluids,दृति,drti
767,object,"a wooden vessel, in particular, a vessel used at the soma sacrifice",द्रु,dru
768,object,a tongue-shaped ladle in which butter was offered to the gods,जुहू,juhu
769,object,a soma vessel,कद्रू,kadru
770,object,pot or jar made from either a gourd or clay,कलश,kalash
771,object,woollen coverlet or blanket,कम्बल,kambal
772,object,pot or vessel of metal,कंस,kamsa
773,object,shovel or spade for digging,खनित्र,khanitr
774,object,"bucket used for drawing water by means of a rope from a well; also, a large vessel to hold the soma",कोश,kosh
775,object,blade or razor,क्षुर,kshur
776,object,"axe, used for making chariots, in war, and for cutting down trees",कुलिश,kulish
777,object,"pot, usually of clay",कुम्भ,kumbh
778,object,plough,लङ्गल,langal
779,object,honey whip,मधुकशा,madhukasha
780,object,a large waterbottle,मणिक,manik
781,object,"wooden peg, often used in weaving",मयूख,mayukh
782,object,ladle,मेक्षण,mekshan
783,object,clay,मृद,mrid
784,object,net for catching animals,मुक्षिजा,mukshija
785,object,pestle,मूसल,musal
786,object,woven basket,मूट,mut
787,object,spit,नेक्षण,nekshan
788,object,the woof in weaving,ओतु,otu
789,object,cooking vessel,पचन,pachan
790,object,"cooked food, cooked milk, or baked bricks",पक्व,pakv
791,object,bundle of straw or reeds to thatch the house and render the sides wind and weather proof,पलद,palad
792,object,"lye, or water mixed with an alkaline substance and used for washing clothes",पलपूलन,palpulan
793,object,vessel for washing the feet,पान्नेजन,pannejan
794,object,thong of leather,परिचर्मण्य,paricharmanya
795,object,iron bolt or bar,परिघ,parigh
796,object,box,परिणह,parinah
797,object,building utensils,पारीणह्य,parinahya
798,object,winnowing fan,परिपवन,paripavan
799,object,tongs used for lifting the sacrificial kettle off the fire,परीशास,parishas
800,object,sickle,पर्शु,parshu
801,object,throne-like seat,पर्यंक,paryank
802,object,woof of the cloth,पर्यास,paryas
803,object,drinking vessel of either wood or clay,पात्र,patr
804,object,sieve or winnowing basket,पवन,pavan
805,object,sieve used for purifying the soma,पवित्र,pavitr
806,object,plank,फलक,phalaka
807,object,ritual vessel,पिन्वन,pinvan
808,object,wooden dish or vessel,पिशीला,pishila
809,object,a kind of guitar with strings attached over a wooden body,पिशीलावीणा,pishilavina
810,object,stool,पीठ,pith
811,object,thong or lash of a whip,प्रकश,prakash
812,object,axe,प्रशस,prashas
813,object,goad of the non-aryans,प्रतोद,pratod
814,object,bench,प्रोष्ठ,proshth
815,object,"cord, often one used for the various fastenings of a horse",रशना,rashana
816,object,girdle or band,रास्ना,rasna
817,object,"bond, halter, fetter",संदान,samdan
818,object,fuel for kindling,समिध,samidh
819,object,"rope, band",संनहन,samnahan
820,object,cart,शकट,shakat
821,object,chip or shaving used for kindling a fire,शल्क,shalk
822,object,wooden peg,शन्कु,shanku
823,object,tongs,शफ,shaph
824,object,couch,शयन,shayan
825,object,treasure,शेवधि,shevadhi
826,object,sling of rope,शिक्य,shikya
827,object,head of couch,शीर्षण्य,shirshanya
828,object,"that with which parts of things are joint together, like laces, bonds, cords, glue",श्लेष्मन,shleshman
829,object,spit used for roasting meat on,शूल,shul
830,object,wickerwork basket for winnowing grain,शूर्प,shurp
831,object,plough,सील,sil
832,object,"a large and heavy plough, dragged by a team of six, eight, twelve, or twentyfour oxen",सीर,sir
833,object,sickle,सृणी,srini
834,object,"cooking pot, usually earthenware",स्थाली,sthali
835,object,stump or post of wood,स्थाणु,sthanu
836,object,needle,सूची,suchi
837,object,woven wickerwork basket for holding meat,सूना,suna
838,object,tube serving as a lamp; pipe conveying water,सूर्मी,surmi
839,object,axe or knife,स्वधिति,svadhiti
840,object,post or splinter of the yup (sacrificial post),स्वरु,svaru
841,object,bed or couch,तल्प,talp
842,object,"warp of a piece of waeving; generally, the web",तन्त्र,tantra
843,object,the warp of weavers,तन्तु,tantu
844,object,the shuttle of weavers,तसर,tasar
845,object,sieve or winnowing fan used to purify corn,तितउ,titau
846,object,goad for impaling,तोदन,todan
847,object,goad for driving cattle,तोत्र,tottra
848,object,vessels for holding the soma,त्रिकद्रुक,trikadruk
849,object,handle of a plough or a beaker,त्सरु,tsaru
850,object,pail or bucket,उदंचन,udanchan
851,object,"cooking pot, usually of clay and used in sacrifice",उखा,ukha
852,object,"meteor; also, firebrand",उल्का,ulka
853,object,"firebrand, from which coal could be taken",उल्मुक,ulmuk
854,object,tongs to extinguish fire with,उल्मुकावाक्षयण,ulmukavakshayana
855,object,mortar,उलुखल,ulukhal
856,object,pillow or cushion,उपबर्हण,upabarhan
857,object,the upper or smaller stone used as a pestle,उपला,upala
858,object,body of the wagon,उपानस,upanas
859,object,coverlet,उपस्तरण,upastaran
860,object,"beast of burden, usually, but sometimes, a cart",वाहन,vahan
861,object,couch or bed,वह्या,vahya
862,object,handle of hammer,वज्र,vajra
863,object,hair sieve,वाल,val
864,object,horsehair strap,वालदामन,valadaman
865,object,lyre or harp,वाण,van
866,object,wooden amulet,वनस्पति,vanaspati
867,object,lyre or harp,वाणी,vani
868,object,musical instrument,वणीची,vanichi
869,object,"a thong or strap used to tie oxen to the yoke, yoke to the pole, or draw up water from a well",वरत्रा,varatra
870,object,thong or strap with which a woven couch is fastened,वर्ध्र,vardhra
871,object,"awl, carpenter's knife",वाशी,vashi
872,object,loom,वेमन,veman
873,object,needle,वेशी,veshi
874,object,rods which form the bottom of the soma filter and on which the straining cloth is stretched,विप,vip
875,object,"mallet, or sticks to beat a drum with",वृषारवा,vrsharava
876,object,staff,यष्टि,yashti
877,object,sacrificial post,यूप,yup
878,mountain,"snowy, as an epithet of mountains",हिमवन्त,himavant
879,mountain,the name of a mountain,क्रौंच,kraunch
880,mountain,name of a mountain,महामेरु,mahameru
881,mountain,the name of a mountain,मैनाक,mainak
882,mountain,the name of a mountain on which the vessel of Manu rested,मनोरवसर्पण,manoravasarpan
883,mountain,the name of a mountain,मूजवन्त,mujavant
884,mountain,name of a mountain,पारिपात्र,paripatr
885,mountain,"name of a mountain, the present Trikot",त्रिककुद,trikakud
886,ship,oar,अरित्र,aritr
887,ship,a rower,अरितृ,aritri
888,ship,raft,द्युम्न,dyumna
889,ship,the rudder of a ship,मण्ड,mand
890,ship,boat or ship,नौ,nau
891,ship,ship,नावा,nava
892,ship,boatman,नावाज,navaj
893,ship,boat,प्लव,plav
894,ship,sea,समुद्र,samudr
895,ship,"poleman, ferryman",शम्बिन,shambin
896,weapon,"maybe a rock, stone, or slingstone, but most probably Indra's bolt",अद्रि,adri
897,weapon,barb,अपाष्ठ,apashth
898,weapon,barb,अपाष्ठ,apashth
899,weapon,"arrow or barb, possibly poisoned",अपस्कम्भ,apaskambh
900,weapon,"arrow or barb, possibly poisoned",अपस्कम्भ,apaskambh
901,weapon,the end of the bow to which the bowstring is attached,आर्त्नि,artni
902,weapon,the end of the bow to which the bowstring is attached,आर्त्नि,artni
903,weapon,slingstone,अशनि,ashani
904,weapon,sword,असि,asi
905,weapon,arrow,बाण,ban
906,weapon,arrow,बाण,ban
907,weapon,arrow or a quiver,बाणवन्त,banavant
908,weapon,arrow,बुन्द,bund
909,weapon,bow,धनुष,dhanush
910,weapon,bow,धन्वन,dhanvan
911,weapon,"missile or an arrow, whether human or divine",दिद्यु,didyu
912,weapon,"missile or an arrow, whether human or divine",दिद्युत,didyut
913,weapon,bowstring,गोधा,godha
914,weapon,a firebrand used by demons,जूर्णि,jurni
915,weapon,bowstring,ज्या,jya
916,weapon,bowstring,ज्याका,jyaka
917,weapon,"wing of a bird, feather of an arrow, and leaf of a tree",पर्ण,parn
918,weapon,the part of the arrow where the feather is fastened; lit. feather-holder,पर्णधि,parnadhi
919,weapon,the part of the arrow where the feather is fastened; lit. feather-holder,पर्णधि,parnadhi
920,weapon,"arrow, reed",परुष,parush
921,weapon,club,पिनाक,pinak
922,weapon,either a bowstring or a stringed musical instrument,पिङ्ग,ping
923,weapon,"cover for a bow, possibly made of skin",प्युकष्ण,pyukshn
924,weapon,arrow,सायक,sayak
925,weapon,a kind of a reed (Saccharum sara) used to make arrow shafts,शर,shar
926,weapon,an arrow shot,शरव्या,sharavya
927,weapon,arrow,शारि,shari
928,weapon,"a missile weapon, often certainly an arrow but perhaps sometimes a dart or a spear",शरु,sharu
929,weapon,arrow,शर्य,sharya
930,weapon,"the horn of an animal; also, the barb of an arrow",श्रृंग,shring
931,weapon,"the horn of an animal; also, the barb of an arrow",श्रृंग,shring
932,weapon,bolt of the gods,तेजस,tejas
933,weapon,a bow with three arrows,तिसृधन्व,tisridhanv
934,war,coat of mail,अत्क,atk
935,war,weapon,आयुध,ayudh
936,war,the defences thrown up against the enemy in the form of earthworks or dikes,देही,dehi
937,war,banner,ध्वजा,dhvaja
938,war,mantle or cloak,द्रापि,drapi
939,war,fort,दुर्ग,durg
940,war,corselet or breastplate,कवच,kavach
941,war,"members of nobility who led tribes to conquest; warrior, military caste",क्षत्रिय,kshatriya
942,war,"axe, used for making chariots, in war, and for cutting down trees",कुलिश,kulish
943,war,a hand-to-hand fighter,मुष्टिहन,mushtihan
944,war,share of booty of war,निराज,niraj
945,war,half of an army,पक्ष,paksh
946,war,banner,पताका,pataka
947,war,foot soldier,पत्ति,patti
948,war,"army, contest (whether in arms or in a chariot race)",पृतना,pritana
949,war,"fort, rampart, or stronghold",पुर,pur
950,war,battle,रण,ran
951,war,chariot maker,रथकार,rathakar
952,war,"lightning, taken as a weapon of the Maruts",ऋष्टि,rishti
953,war,war,समर,samar
954,war,battle,संघात,sanghat
955,war,sword or knife,शास,sas
956,war,army,सेना,sena
957,war,general,सेनानी,senani
958,war,helmet,शिप्र,shipr
959,war,wings of an army,सिच,sich
960,war,spear,स्रक्ति,srakti
961,war,lance,सृक,srik
962,war,axe or knife,स्वधिति,svadhiti
963,war,share of the booty of war taken by the king,उदाज,udaj
964,war,weapon,वधर,vadhar
965,war,"body armour, coat of mail, corselet",वर्मन,varman
966,war,chieftain,व्राजपति,vrajapati
967,war,armed troops,व्रात,vrat
968,war,warrior,योद्धा,yoddha
969,number,"ten, forms the basis of the numbering system",दशन,dashan
970,number,"fraction, denoting one-sixteenth of a number",कला,kala
971,number,fraction denoting one-twelfth of a number,कुष्ठ,kushth
972,number,"fraction, denoting one-fourth of a number",पद,pad
973,number,"fraction, denoting one-eighth of a number",शाफ,shaf
974,distance,a finger breadth,अंगुलि,anguli
975,distance,the thumb,अंगुष्ठ,angushth
976,distance,"the elbow, primarily; also ell or cubit",अरत्नि,aratni
977,distance,arm,बाहु,bahu
978,distance,a grassland for pasturing of cattle,गव्युति,gavyuti
979,distance,"a measure of distance, reckoned as the range of a shout",क्रोश,krosh
980,distance,"fraction, denoting one-fourth of a number",पद,pad
981,distance,"span, as a measure of length",प्रादेश,pradesh
982,distance,"stride, as a measure of distance",प्रक्रम,prakram
