Genotype,GW,Genotype,GW,
CV1,47.1,CV2,48.7,
CV1,45.6,CV2,59.2,
CV1,15.5,CV2,38.6,
CV1,34,CV2,57.3,
CV1,56.2,CV2,43.9,
CV1,62.1,CV2,45,
CV1,31.3,CV2,56.1,
CV1,61,CV2,27.3,
CV1,48.9,CV2,22.4,
CV1,34.7,CV2,41.7,
CV1,52.5,CV2,53.9,
CV1,45.8,CV2,16.7,
CV1,38.8,CV2,29.7,
CV1,66.7,CV2,26.5,
CV1,38.8,CV2,44.9,
CV1,43.8,CV2,56.8,
CV1,56.5,CV2,40.1,
CV1,52.4,CV2,27.1,
CV1,30,CV2,55.7,
CV1,52.7,CV2,33.5,
CV1,66.2,CV2,20.5,
CV1,50.3,CV2,47,
CV1,58.1,CV2,61,
CV1,44,CV2,26.2,
CV1,61.1,CV2,36.6,
CV1,60.1,CV2,17,
CV1,53,CV2,33.7,
CV1,18.7,CV2,37.6,
CV1,39.1,CV2,41.3,
CV1,50.9,CV2,53.6,
CV1,35.4,CV2,30.1,
CV1,41.4,CV2,45.9,
CV1,42.3,CV2,45.9,
CV1,50,CV2,36.4,
CV1,50.6,CV2,40.8,
CV1,54.3,CV2,37.5,
CV1,61.4,CV2,30,
CV1,64.9,CV2,29.8,
CV1,39.2,CV2,50,
CV1,48.9,CV2,9.5,
CV1,38.7,CV2,37.5,
CV1,32.1,CV2,8.4,
CV1,38,CV2,55.4,
CV1,58.4,CV2,36.4,
CV1,43.6,CV2,37.7,
CV1,37,CV2,19.6,
CV1,52.6,CV2,16.7,
CV1,41.4,CV2,50.6,
CV1,69.2,CV2,43.6,
CV1,45.4,CV2,32,
CV1,48.2,CV2,41,
CV1,57.7,CV2,39,
CV1,36.1,CV2,16.3,
CV1,43.1,CV2,33.5,
CV1,22.3,CV2,40.1,
CV1,47.5,CV2,52.3,
CV1,51,CV2,39.8,
CV1,56.6,CV2,48,
CV1,41.6,CV2,22.7,
CV1,54,CV2,39.5,
CV1,35.6,CV2,49.6,
CV1,46.1,CV2,46,
CV1,48.2,CV2,29.4,
CV1,28.3,CV2,38.6,
CV1,48.7,CV2,60.2,
CV1,36.3,CV2,53.4,
CV1,30.2,CV2,24.3,
CV1,50.8,CV2,39.6,
CV1,61.3,CV2,35.5,
CV1,61.2,CV2,45.4,
CV1,35.8,CV2,28,
CV1,30.8,CV2,54.5,
CV1,54,CV2,37.7,
CV1,47.8,CV2,28.1,
CV1,29.8,CV2,55,
CV1,41.3,CV2,19.3,
CV1,41.7,CV2,57.3,
CV1,33,CV2,45.9,
CV1,59.6,CV2,29.8,
CV1,41.2,CV2,22.1,
CV1,46.7,CV2,21.7,
CV1,55.3,CV2,38.7,
CV1,44.5,CV2,46.9,
CV1,43.8,CV2,46.4,
CV1,41.9,CV2,34.4,
CV1,44,CV2,50,
CV1,50.8,CV2,50.3,
CV1,48.3,CV2,59,
CV1,58.7,CV2,33.3,
CV1,50.5,CV2,20,
CV1,55.1,CV2,32.3,
CV1,20.4,CV2,25,
CV1,34.9,CV2,46.8,
CV1,48.3,CV2,38.2,
CV1,24.6,CV2,43.2,
CV1,35.9,CV2,58.5,
CV1,48.8,CV2,38.3,
CV1,27.2,CV2,34.2,
CV1,43.6,CV2,48.2,
CV1,33.4,CV2,43.3,
CV1,46.7,CV2,27.1,
CV1,39.7,CV2,27.2,
CV1,57.4,CV2,44.4,
CV1,26,CV2,46.7,
CV1,51.6,CV2,28.2,
CV1,51.2,CV2,29.5,
CV1,32,CV2,54.6,
CV1,39.2,CV2,33.3,
CV1,54.6,CV2,52.7,
CV1,60.5,CV2,45,
CV1,37,CV2,28.9,
CV1,60.5,CV2,16,
CV1,44.1,CV2,24.7,
CV1,52.3,CV2,47.9,
CV1,31.7,CV2,50.5,
CV1,65.4,CV2,36.3,
CV1,51.7,CV2,26.9,
CV1,33.2,CV2,33.8,
CV1,40.5,CV2,54,
CV1,37.6,CV2,58.3,
CV1,33.8,CV2,52.6,
CV1,47.2,CV2,51.3,
CV1,61,CV2,48.7,
CV1,55.6,CV2,48.8,
CV1,58.8,CV2,55.7,
CV1,44.4,CV2,27.8,
CV1,67,CV2,50.7,
CV1,39.8,CV2,34.6,
CV1,40.1,CV2,8.9,
CV1,56.1,CV2,54.4,
CV1,47.1,CV2,35.4,
CV1,27.8,CV2,17,
CV1,13.5,CV2,38,
CV1,55.7,CV2,46.1,
CV1,65,CV2,21,
CV1,60.8,CV2,55.7,
CV1,51.3,CV2,33.8,
CV1,62.6,CV2,50.4,
CV1,59.6,CV2,27,
CV1,44.4,CV2,51,
CV1,56.6,CV2,55.4,
CV1,63.3,CV2,31.2,
CV1,46.3,CV2,46.7,
CV1,44.3,CV2,25,
